,Reference:,Reference ID:,EC Value:,Method:,Buffer:,Evaluation:,T [K],pH ,Keq,Km,Enthalpy [kJ / mol],solutes [mol / dm^3],solutes [mol / kg],Ionic strength [mol / kg],Ionic strength [mol / dm^3],Experimental conditions
26,Meyerhof O.; Lohmann K.; Biochem. Z.; 275 430 (1935).,35MEY/LOH_1102," 4.1.2.13 & 5.3.1.1                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, phosphate, C,293.15,nan,nan,nan,58,nan,nan,nan,nan,nan
27,nan,nan,nan,nan,nan,nan,313.15,nan,nan,nan,64,nan,nan,nan,nan,nan
28,Meyerhof O.; Schulz W.; Biochem. Z.; 281 292 (1935).,35MEY/SCH_797," 3.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, phosphate, C,293.15,nan,nan,nan,-31,nan,nan,nan,nan,nan
29,Meyerhof O.; Schulz W.; Biochem. Z.; 281 292 (1935).,35MEY/SCH_798," 3.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, phosphate, C,293.15,nan,nan,nan,-44.8,nan,nan,nan,nan,nan
30,Meyerhof O.; Schulz W.; Biochem. Z.; 281 292 (1935).,35MEY/SCH_802," 3.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, phosphate, C,293.15,nan,nan,nan,-34.5,nan,nan,nan,nan,nan
31,Meyerhof O.; Schulz W.; Biochem. Z.; 281 292 (1935).,35MEY/SCH_805," 3.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, phosphate, C,293.15,nan,nan,nan,-35.4,nan,nan,nan,nan,nan
32,Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101," 4.1.2.13 & 5.3.1.1                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry,nan, C,273.15,7,0.00014,nan,nan,0.006 salt & 0.006 salt,nan,nan,nan,MgCl2
33,nan,nan,nan,nan,nan,nan,273.15,7,0.000071,nan,nan,0.12 salt & 0.12 salt,nan,nan,nan,MgCl2
34,nan,nan,nan,nan,nan,nan,273.15,7,0.00032,nan,nan,-- salt & -- salt,nan,nan,nan,nan
35,nan,nan,nan,nan,nan,nan,293.15,7,0.0014,nan,nan,0.0012 salt & 0.0012 salt,nan,nan,nan,MgCl2
36,nan,nan,nan,nan,nan,nan,293.15,7,0.0011,nan,nan,0.0025 salt & 0.0025 salt,nan,nan,nan,MgCl2
37,nan,nan,nan,nan,nan,nan,293.15,7,0.00064,nan,nan,0.006 salt & 0.006 salt,nan,nan,nan,MgCl2
38,nan,nan,nan,nan,nan,nan,293.15,7,0.00051,nan,nan,0.012 salt & 0.012 salt,nan,nan,nan,MgCl2
39,nan,nan,nan,nan,nan,nan,293.15,7,0.00031,nan,nan,0.031 salt & 0.031 salt,nan,nan,nan,MgCl2
40,nan,nan,nan,nan,nan,nan,293.15,7,0.00035,nan,nan,0.06 salt & 0.06 salt,nan,nan,nan,MgCl2
41,nan,nan,nan,nan,nan,nan,293.15,7,0.00037,nan,nan,0.06 salt & 0.06 salt,nan,nan,nan,MgCl2
42,nan,nan,nan,nan,nan,nan,293.15,7,0.00029,nan,nan,0.12 salt & 0.12 salt,nan,nan,nan,MgCl2
43,nan,nan,nan,nan,nan,nan,293.15,7,0.00035,nan,nan,0.12 salt & 0.12 salt,nan,nan,nan,MgCl2
44,nan,nan,nan,nan,nan,nan,293.15,7,0.00035,nan,nan,0.24 salt & 0.24 salt,nan,nan,nan,MgCl2
45,nan,nan,nan,nan,nan,nan,293.15,7,0.00055,nan,nan,0.2 salt & 0.2 salt,nan,nan,nan,Na2SO4
46,nan,nan,nan,nan,nan,nan,293.15,7,0.0011,nan,nan,0.043 salt & 0.043 salt,nan,nan,nan,NaCl
47,nan,nan,nan,nan,nan,nan,293.15,7,0.00075,nan,nan,0.21 salt & 0.21 salt,nan,nan,nan,NaCl
48,nan,nan,nan,nan,nan,nan,293.15,7,0.00047,nan,nan,0.9 salt & 0.9 salt,nan,nan,nan,NaCl
49,nan,nan,nan,nan,nan,nan,293.15,7,0.0015,nan,nan,-- salt & -- salt,nan,nan,nan,nan
50,nan,nan,nan,nan,nan,nan,313.15,7,0.0056,nan,nan,0.0012 salt & 0.0012 salt,nan,nan,nan,MgCl2
51,nan,nan,nan,nan,nan,nan,313.15,7,0.0025,nan,nan,0.006 salt & 0.006 salt,nan,nan,nan,MgCl2
52,nan,nan,nan,nan,nan,nan,313.15,7,0.002,nan,nan,0.012 salt & 0.012 salt,nan,nan,nan,MgCl2
53,nan,nan,nan,nan,nan,nan,313.15,7,0.0014,nan,nan,0.031 salt & 0.031 salt,nan,nan,nan,MgCl2
54,nan,nan,nan,nan,nan,nan,313.15,7,0.0064,nan,nan,-- salt & -- salt,nan,nan,nan,nan
55,nan,nan,nan,nan,nan,nan,333.15,7,0.015,nan,nan,0.0012 salt & 0.0012 salt,nan,nan,nan,MgCl2
56,nan,nan,nan,nan,nan,nan,333.15,7,0.0082,nan,nan,0.006 salt & 0.006 salt,nan,nan,nan,MgCl2
57,nan,nan,nan,nan,nan,nan,333.15,7,0.0056,nan,nan,0.012 salt & 0.012 salt,nan,nan,nan,MgCl2
58,nan,nan,nan,nan,nan,nan,333.15,7,0.0046,nan,nan,0.031 salt & 0.031 salt,nan,nan,nan,MgCl2
59,nan,nan,nan,nan,nan,nan,333.15,7,0.0012,nan,nan,0.12 salt & 0.12 salt,nan,nan,nan,MgCl2
60,nan,nan,nan,nan,nan,nan,333.15,7,0.019,nan,nan,-- salt & -- salt,nan,nan,nan,nan
61,von Euler H.; Adler E.; Hellstrvm H.; Hoppe-Seyler's Z. Physiol. Chem.; 241 239 (1936).,36EUL/ADL_7," 1.1.1.1                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate, C,298.15,6.4,1.30E-05,nan,nan,nan,nan,nan,nan,nan
62,nan,nan,nan,nan,nan,nan,298.15,7,5.30E-05,nan,nan,nan,nan,nan,nan,nan
63,nan,nan,nan,nan,nan,nan,298.15,7.7,0.00013,nan,nan,nan,nan,nan,nan,nan
64,Lehman H.; Biochem. Z.; 286 336 (1936).,36LEH_589," 2.7.3.2                                                    (ENZYME |                                                 KEGG)                                                ", chemical analysis, carbonate + bicarbonate, C,293.15,7.7,0.13,nan,nan,nan,nan,nan,nan,nan
65,nan,nan,nan,nan,nan,nan,293.15,8.8,0.48,nan,nan,nan,nan,nan,nan,nan
66,Lehman H.; Biochem. Z.; 286 336 (1936).,36LEH_614," 2.7.3.3                                                    (ENZYME |                                                 KEGG)                                                ", chemical analysis, carbonate + bicarbonate, C,293.15,7.7,0.323,nan,nan,nan,nan,nan,nan,nan
67,Meyerhof O.; Lohmann K.; Schuster Ph.; Biochem. Z.; 286 301 (1936).,36MEY/LOH_1099," 4.1.2.13                                                    (ENZYME |                                                 KEGG)                                                ", chemical analysis, phosphate, C,273.15,nan,0.0021,nan,nan,nan,nan,nan,nan,nan
68,nan,nan,nan,nan,nan,nan,293.15,nan,0.0029,nan,nan,nan,nan,nan,nan,nan
69,nan,nan,nan,nan,nan,nan,313.15,nan,0.0067,nan,nan,nan,nan,nan,nan,nan
70,Meyerhof O.; Schulz W.; Biochem. Z. 289 87 (1936).,36MEY/SCH_1096," 4.1.2.13                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, phosphate, C,298.15,nan,nan,nan,-60.2,nan,nan,nan,nan,nan
71,Veibel S.; Enzymologia; 1 124 (1936).,36VEI_914," 3.2.1.21                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry,nan, C,277.15,nan,8.63,nan,nan,nan,nan,nan,nan,nan
72,nan,nan,nan,nan,nan,nan,303.15,nan,9.48,nan,nan,nan,nan,nan,nan,nan
73,Veibel S.; Enzymologia; 1 124 (1936).,36VEI_915," 3.2.1.21                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry,nan, C,277.15,nan,18.5,nan,nan,nan,nan,nan,nan,nan
74,nan,nan,nan,nan,nan,nan,303.15,nan,21.1,nan,nan,nan,nan,nan,nan,nan
75,Veibel S.; Enzymologia; 1 124 (1936).,36VEI_917," 3.2.1.21                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry,nan, C,277.15,nan,7.08,nan,nan,nan,nan,nan,nan,nan
76,nan,nan,nan,nan,nan,nan,303.15,nan,7.88,nan,nan,nan,nan,nan,nan,nan
77,Veibel S.; Enzymologia; 1 124 (1936).,36VEI_922," 3.2.1.21                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry,nan, C,277.15,nan,4.5,nan,nan,nan,nan,nan,nan,nan
78,nan,nan,nan,nan,nan,nan,303.15,nan,4.73,nan,nan,nan,nan,nan,nan,nan
79,Veibel S.; Enzymologia; 1 124 (1936).,36VEI_923," 3.2.1.21                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry,nan, C,277.15,nan,11.2,nan,nan,nan,nan,nan,nan,nan
80,nan,nan,nan,nan,nan,nan,303.15,nan,11.9,nan,nan,nan,nan,nan,nan,nan
81,Veibel S.; Enzymologia; 1 124 (1936).,36VEI_924," 3.2.1.21                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry,nan, C,277.15,nan,45,nan,nan,nan,nan,nan,nan,nan
82,nan,nan,nan,nan,nan,nan,303.15,nan,57,nan,nan,nan,nan,nan,nan,nan
83,Veibel S.; Enzymologia; 1 124 (1936).,36VEI_925," 3.2.1.21                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry,nan, C,277.15,nan,8.92,nan,nan,nan,nan,nan,nan,nan
84,nan,nan,nan,nan,nan,nan,303.15,nan,9.98,nan,nan,nan,nan,nan,nan,nan
85,Veibel S.; Enzymologia; 1 124 (1936).,36VEI_926," 3.2.1.21                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry,nan, C,277.15,nan,19,nan,nan,nan,nan,nan,nan,nan
86,nan,nan,nan,nan,nan,nan,303.15,nan,22.7,nan,nan,nan,nan,nan,nan,nan
87,Adler E.; Sreenivasaya M.; Hoppe-Seyler's Z. Physiol. Chem.; 249 24 (1937).,37ADL/SRE_8," 1.1.1.1                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry,nan, D,298.15,6.05,6.00E-06,nan,nan,nan,nan,nan,nan,nan
88,nan,nan,nan,nan,nan,nan,298.15,7.25,7.70E-05,nan,nan,nan,nan,nan,nan,nan
89,nan,nan,nan,nan,nan,nan,298.15,8,1.20E-05,nan,nan,nan,nan,nan,nan,nan
90,von Euler H.; Adler E.; G|nther G.; Hoppe-Seyler's Z. Physiol. Chem.; 247 65 (1937).,37EUL/ADL_127," 1.1.1.37                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate, C,298.15,7.46,2.30E-05,nan,nan,nan,nan,nan,nan,nan
91,nan,nan,nan,nan,nan,nan,298.15,7.54,3.50E-05,nan,nan,nan,nan,nan,nan,nan
92,nan,nan,nan,nan,nan,nan,298.15,7.71,5.00E-05,nan,nan,nan,nan,nan,nan,nan
93,nan,nan,nan,nan,nan,nan,298.15,7.85,0.00011,nan,nan,nan,nan,nan,nan,nan
94,nan,nan,nan,nan,nan,nan,298.15,8.33,0.0002,nan,nan,nan,nan,nan,nan,nan
95,nan,nan,nan,nan,nan,nan,298.15,8.44,0.0005,nan,nan,nan,nan,nan,nan,nan
96,nan,nan,nan,nan,nan,nan,298.15,8.49,0.00063,nan,nan,nan,nan,nan,nan,nan
97,von Euler H.; Adler E.; G|nther G.; Hoppe-Seyler's Z. Physiol. Chem.; 247 65 (1937).,37EUL/ADL_95," 1.1.1.27                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate, C,298.15,7.58,7.70E-05,nan,nan,nan,nan,nan,nan,nan
98,nan,nan,nan,nan,nan,nan,298.15,7.61,8.30E-05,nan,nan,nan,nan,nan,nan,nan
99,nan,nan,nan,nan,nan,nan,298.15,7.61,0.00051,nan,nan,nan,nan,nan,nan,nan
100,nan,nan,nan,nan,nan,nan,298.15,8.38,0.0011,nan,nan,nan,nan,nan,nan,nan
101,nan,nan,nan,nan,nan,nan,298.15,8.51,0.0014,nan,nan,nan,nan,nan,nan,nan
102,nan,nan,nan,nan,nan,nan,298.15,8.82,0.002,nan,nan,nan,nan,nan,nan,nan
103,nan,nan,nan,nan,nan,nan,298.15,8.83,0.0025,nan,nan,nan,nan,nan,nan,nan
104,von Euler H.; Adler E.; G|nther G.; Hoppe-Seyler's Z. Physiol. Chem.; 249 1 (1937).,37EUL/ADL2_42," 1.1.1.8                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate, C,298.15,6.9,1.60E-05,nan,nan,nan,nan,nan,nan,nan
105,nan,nan,nan,nan,nan,nan,298.15,8.1,0.00059,nan,nan,nan,nan,nan,nan,nan
106,nan,nan,nan,nan,nan,nan,298.15,7.6,0.0003,nan,nan,nan,nan,nan,nan,nan
107,von Euler H.; Adler E.; G|nther G.; Hellstrvm H.; Hoppe-Seyler's Z. Physiol. Chem.; 245 217 (1937).,37EUL/ADL3_96," 1.1.1.27                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate, C,298.15,7.4,7.10E-06,nan,nan,nan,nan,nan,nan,nan
108,nan,nan,nan,nan,nan,nan,298.15,7.4,9.60E-06,nan,nan,nan,nan,nan,nan,nan
109,nan,nan,nan,nan,nan,nan,298.15,7.9,3.10E-05,nan,nan,nan,nan,nan,nan,nan
110,nan,nan,nan,nan,nan,nan,298.15,8.1,5.00E-05,nan,nan,nan,nan,nan,nan,nan
111,nan,nan,nan,nan,nan,nan,298.15,8.2,0.0002,nan,nan,nan,nan,nan,nan,nan
112,nan,nan,nan,nan,nan,nan,298.15,8.3,0.00029,nan,nan,nan,nan,nan,nan,nan
113,nan,nan,nan,nan,nan,nan,298.15,8.35,0.00029,nan,nan,nan,nan,nan,nan,nan
114,nan,nan,nan,nan,nan,nan,298.15,8.7,0.00015,nan,nan,nan,nan,nan,nan,nan
115,nan,nan,nan,nan,nan,nan,298.15,8.9,0.00033,nan,nan,nan,nan,nan,nan,nan
116,Negelein E.; Wulff H.-J.; Biochem. Z.; 293 351 (1937).,37NEG/WUL_9," 1.1.1.1                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate, C,293.15,7.9,0.000741,nan,nan,nan,nan,nan,nan,nan
117,von Euler H.; Adler E.; G|nther G.; Das N.B.; Hoppe-Seyler's Z. Physiol. Chem.; 254 61 (1938).,38EUL/ADL_273," 1.4.1.2                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate, C,298.15,6.05,3.90E-11,nan,nan,nan,nan,nan,nan,nan
118,nan,nan,nan,nan,nan,nan,298.15,6.63,1.30E-09,nan,nan,nan,nan,nan,nan,nan
119,nan,nan,nan,nan,nan,nan,298.15,7.01,1.30E-09,nan,nan,nan,nan,nan,nan,nan
120,nan,nan,nan,nan,nan,nan,298.15,7.26,7.60E-09,nan,nan,nan,nan,nan,nan,nan
121,nan,nan,nan,nan,nan,nan,298.15,7.36,6.50E-09,nan,nan,nan,nan,nan,nan,nan
122,nan,nan,nan,nan,nan,nan,298.15,7.39,9.40E-09,nan,nan,nan,nan,nan,nan,nan
123,nan,nan,nan,nan,nan,nan,298.15,7.4,7.90E-09,nan,nan,nan,nan,nan,nan,nan
124,nan,nan,nan,nan,nan,nan,298.15,7.43,1.50E-08,nan,nan,nan,nan,nan,nan,nan
125,nan,nan,nan,nan,nan,nan,298.15,7.45,1.70E-08,nan,nan,nan,nan,nan,nan,nan
126,nan,nan,nan,nan,nan,nan,298.15,7.57,7.70E-09,nan,nan,nan,nan,nan,nan,nan
127,nan,nan,nan,nan,nan,nan,298.15,7.6,2.00E-08,nan,nan,nan,nan,nan,nan,nan
128,nan,nan,nan,nan,nan,nan,298.15,7.66,1.10E-08,nan,nan,nan,nan,nan,nan,nan
129,nan,nan,nan,nan,nan,nan,298.15,7.82,2.40E-08,nan,nan,nan,nan,nan,nan,nan
130,nan,nan,nan,nan,nan,nan,298.15,8.01,3.60E-08,nan,nan,nan,nan,nan,nan,nan
131,nan,nan,nan,nan,nan,nan,298.15,8.05,7.00E-08,nan,nan,nan,nan,nan,nan,nan
132,Meyerhof O.; Schulz W.; Biochem. Z.; 297 60 (1938).,38MEY/SCH_1387," 5.4.2.1                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry,nan, C,273.15,nan,10.8,nan,nan,nan,nan,nan,nan,nan
133,nan,nan,nan,nan,nan,nan,293.15,nan,9.5,nan,nan,nan,nan,nan,nan,nan
134,nan,nan,nan,nan,nan,nan,310.15,nan,7.9,nan,nan,nan,nan,nan,nan,nan
135,nan,nan,nan,nan,nan,nan,333.15,nan,7.6,nan,nan,nan,nan,nan,nan,nan
136,Schlenk F.; Hellstrvm H.; von Euler H.; Ber. Dtsch. Chem. Ges.; 71 1471 (1938).,38SCH/HEL_10," 1.1.1.1                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry,nan, C,298.15,6.3,2.60E-05,nan,nan,nan,nan,nan,nan,nan
137,nan,nan,nan,nan,nan,nan,298.15,6.85,8.80E-05,nan,nan,nan,nan,nan,nan,nan
138,nan,nan,nan,nan,nan,nan,298.15,7.15,0.00019,nan,nan,nan,nan,nan,nan,nan
139,nan,nan,nan,nan,nan,nan,298.15,7.34,0.0003,nan,nan,nan,nan,nan,nan,nan
140,nan,nan,nan,nan,nan,nan,298.15,7.77,0.0008,nan,nan,nan,nan,nan,nan,nan
141,nan,nan,nan,nan,nan,nan,298.15,8.17,0.0022,nan,nan,nan,nan,nan,nan,nan
142,Schlenk F.; Hellstrvm H.; von Euler H.; Ber. Dtsch. Chem. Ges.; 71 1471 (1938).,38SCH/HEL_23," 1.1.1.1                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry,nan, C,298.15,6.39,9.10E-06,nan,nan,nan,nan,nan,nan,nan
143,nan,nan,nan,nan,nan,nan,298.15,6.6,3.00E-05,nan,nan,nan,nan,nan,nan,nan
144,nan,nan,nan,nan,nan,nan,298.15,6.85,5.10E-05,nan,nan,nan,nan,nan,nan,nan
145,nan,nan,nan,nan,nan,nan,298.15,7.18,0.00015,nan,nan,nan,nan,nan,nan,nan
146,nan,nan,nan,nan,nan,nan,298.15,7.31,0.00023,nan,nan,nan,nan,nan,nan,nan
147,nan,nan,nan,nan,nan,nan,298.15,7.69,0.00056,nan,nan,nan,nan,nan,nan,nan
148,nan,nan,nan,nan,nan,nan,298.15,8.06,0.0011,nan,nan,nan,nan,nan,nan,nan
149,Cohen P.P.; Biochem. J.; 33 1478 (1939).,39COH_504," 2.6.1.2                                                    (ENZYME |                                                 KEGG)                                                ",nan, phosphate (0.1 mol dm-3), C,313.15,7.4,1,nan,nan,nan,nan,nan,nan,nan
150,Cohen P.P.; J. Biol. Chem.; 136 585 (1940).,40COH_495," 2.6.1.1                                                    (ENZYME |                                                 KEGG)                                                ",nan, phosphate, C,311.15,7.4,0.25,nan,nan,nan,nan,nan,nan,nan
151,Herbert D.; Gordon H.; Subrahmanyan V.; Green D.E.; Biochem. J.; 34 1108 (1940).,40HER/GOR_1090," 4.1.2.13                                                    (ENZYME |                                                 KEGG)                                                ",nan, borate (0.8 mol dm-3), C,301.15,7.2,6.00E-05,nan,nan,nan,nan,nan,nan,nan
152,nan,nan,nan,nan,nan,nan,311.15,7.2,0.000119,nan,nan,nan,nan,nan,nan,nan
153,nan,nan,nan,nan,nan,nan,311.15,7.33,0.000122,nan,nan,nan,nan,nan,nan,nan
154,nan,nan,nan,nan,nan,nan,321.15,7.2,0.000234,nan,nan,nan,nan,nan,nan,nan
155,Krebs H.A.; Smyth D.H.; Evans E.A. Jr.; Biochem. J.; 34 1041 (1940).,40KRE/SMY_1143," 4.2.1.2                                                    (ENZYME |                                                 KEGG)                                                ", manometry, phosphate (0.1 mol dm-3), B,293.15,7.4,4.57,nan,nan,nan,nan,nan,nan,nan
156,nan,nan,nan,nan,nan,nan,303.15,7.4,3.54,nan,nan,nan,nan,nan,nan,nan
157,nan,nan,nan,nan,nan,nan,313.15,7.4,3.17,nan,nan,nan,nan,nan,nan,nan
158,nan,nan,nan,nan,nan,nan,323.15,7.4,2.65,nan,nan,nan,nan,nan,nan,nan
159,Utter M.F.; Werkman C.H.; J. Bacteriol.; 42 665 (1941).,41UTT/WER_1103," 4.1.2.13 & 5.3.1.1                                                    (ENZYME |                                                 KEGG)                                                ", chemical analysis, glycine + NaOH, B,278.15,9,0.000435,nan,nan,nan,nan,nan,nan,nan
160,nan,nan,nan,nan,nan,nan,298.15,9,0.00182,nan,nan,nan,nan,nan,nan,nan
161,nan,nan,nan,nan,nan,nan,313.15,9,0.00637,nan,nan,nan,nan,nan,nan,nan
162,Utter M.F.; Werkman C.H.; J. Bacteriol.; 42 665 (1941).,41UTT/WER_1291," 5.3.1.1 & 4.1.2.13                                                    (ENZYME |                                                 KEGG)                                                ", chemical analysis, glycine + NaOH, B,278.15,9,0.000435,nan,nan,nan,nan,nan,nan,nan
163,Warburg O.; Christian W.; Biochem. Z.; 310 384 (1941).,41WAR/CHR_1171," 4.2.1.11                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, bicarbonate and phosphate, C,293.15,7.34,1.43,nan,nan,nan,nan,nan,nan,nan
164,Colowick S.P.; Sutherland E.W.; J. Biol. Chem.; 144 423 (1942).,42COL/SUT_1401," 5.4.2.2                                                    (ENZYME |                                                 KEGG)                                                ",nan, barbital (0.025 mol dm-3), C,293.15,~7.5,19.8,nan,nan,nan,nan,nan,nan,nan
165,nan,nan,nan,nan,nan,nan,303.15,~7.5,17.2,nan,nan,nan,nan,nan,nan,nan
166,nan,nan,nan,nan,nan,nan,313.15,~7.5,16.2,nan,nan,nan,nan,nan,nan,nan
167,Lenard P.; Straub F.B.; Stud. Inst. Med. Chem. Univ. Szeged; 2 59 (1942).,42LEN/STR_505," 2.6.1.2                                                    (ENZYME |                                                 KEGG)                                                ", chemical analysis, phosphate (0.1 mol dm-3), C,310.15,7.3,0.7,nan,nan,nan,nan,nan,nan,nan
168,Banga I.; Stud. Inst. Med. Chem. Univ. Szeged; 3 59 (1943).,43BAN_590," 2.7.3.2                                                    (ENZYME |                                                 KEGG)                                                ", chemical analysis, borate and barbital acetate, C,311.15,7.5,0.0023,nan,nan,nan,nan,nan,nan,nan
169,nan,nan,nan,nan,borate,nan,311.15,7.6,0.0049,nan,nan,nan,nan,nan,nan,nan
170,nan,nan,nan,nan,borate,nan,311.15,7.8,0.0239,nan,nan,nan,nan,nan,nan,nan
171,nan,nan,nan,nan,borate,nan,311.15,8.2,0.0925,nan,nan,nan,nan,nan,nan,nan
172,nan,nan,nan,nan,borate,nan,311.15,8.5,0.191,nan,nan,nan,nan,nan,nan,nan
173,nan,nan,nan,nan,barbital,nan,311.15,8.55,0.039,nan,nan,nan,nan,nan,nan,nan
174,nan,nan,nan,nan,borate,nan,311.15,9.05,0.365,nan,nan,nan,nan,nan,nan,nan
175,nan,nan,nan,nan,borate,nan,311.15,9.5,0.138,nan,nan,nan,nan,nan,nan,nan
176,nan,nan,nan,nan,borate,nan,311.15,9.7,0.0061,nan,nan,nan,nan,nan,nan,nan
