,Unnamed: 0,Enzyme,Reaction,Reference:,Reference ID:,EC Value:,Method:,Buffer:,Evaluation:,T [K],pH ,Keq,Km,Enthalpy [kJ / mol],solutes [mol / dm^3],solutes [mol / kg],Ionic strength [mol / kg],Ionic strength [mol / dm^3],Experimental conditions
0,0, aspartate ammonia-lyase, L-aspartate(aq) = fumarate(aq) + ammonia(aq),Quastel J.H.; Woolf B.; Biochem. J.; 20 545 (1926).,26QUA/WOO_1205," 4.3.1.1                                                    (ENZYME |                                                 KEGG)                                                ", chemical analysis, phosphate, C,310.15,7.4,~0.04,,,,,,,
1,1, aspartate ammonia-lyase, L-aspartate(aq) = fumarate(aq) + ammonia(aq),Woolf B.; Biochem. J.; 23 472 (1929).,29WOO_1206," 4.3.1.1                                                    (ENZYME |                                                 KEGG)                                                ", chemical analysis and polarimetry, phosphate, B,310.15,7.4,0.01,,,,,,,
2,2, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),Borsook H.; Schott H.F.; J. Biol. Chem.; 92 559 (1931).,31BOR/SCH_1141," 4.2.1.2                                                    (ENZYME |                                                 KEGG)                                                ", electrochemistry,, C,298.15,6.81,3.1,,,,,,,
3,3,nan,nan,,,,,,,298.15,7.12,3.3,,,,,,,
4,4, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),Jacobsohn K.P.; Biochem. Z.; 274 167 (1934).,34JAC_1142," 4.2.1.2                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry, barbital, C,278.15,6.8,8.4,,,,,,,
5,5,nan,nan,,,,,,,288.15,6.8,6.5,,,,,,,
6,6,nan,nan,,,,,,,298.15,6.8,5.1,,,,,,,
7,7,nan,nan,,,,,,,311.15,6.8,3.8,,,,,,,
8,8,nan,nan,,,,,,,327.15,6.8,2.1,,,,,,,
9,9, phosphopyruvate hydratase, 2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),Lohman K.; Meyerhof O.; Biochem. Z.; 273 60 (1934).,34LOH/MEY_1169," 4.2.1.11                                                    (ENZYME |                                                 KEGG)                                                ", chemical analysis,, C,273.15,,0.33,,,,,,,
10,10,nan,nan,,,,,,,293.15,,0.39,,,,,,,
11,11,nan,nan,,,,,,,313.15,,0.54,,,,,,,
12,12,nan,nan,,,,,,,333.15,,0.7,,,,,,,
13,13, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1100," 4.1.2.13 & 5.3.1.1                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry,, C,266.15,7,0.00018,,,,,,,
14,14,nan,nan,,,,,,,273.15,7,0.0003,,,,,,,
15,15,nan,nan,,,,,,,293.15,7,0.0015,,,,,,,
16,16,nan,nan,,,,,,,333.15,7,0.013,,,,,,,
17,17,nan,nan,,,,,,,343.15,7,0.022,,,,,,,
18,18, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Akano R.; Biochem. Z.; 280 110 (1935).,35AKA_1170," 4.2.1.11                                                    (ENZYME |                                                 KEGG)                                                ",,, C,301.15,,2.3,,,,,,,
19,19, phosphopyruvate hydratase, 2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),Jacobsohn K.P.; Tapadinhas J.; Biochem. Z.; 282 374 (1935).,35JAC/TAP_1207," 4.3.1.1                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry and chemical analysis, barbital, C,278.15,7,0.0024,,,,,,,
20,20,nan,nan,,,,,,,310.15,7,0.0076,,,,,,,
21,21, aspartate ammonia-lyase, L-aspartate(aq) = fumarate(aq) + ammonia(aq),Meyerhof O.; Kiessling W.; Biochem. Z.; 276 239 (1935).,35MEY/KIE_1385," 5.4.2.1                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry,, C,273.15,,7.3,,,,,,,
22,22,nan,nan,,,,,,,301.15,,3.85,,,,,,,
23,23,nan,nan,,,,,,,311.15,,3.45,,,,,,,
24,24,nan,nan,,,,,,,333.15,,2.3,,,,,,,
25,25, phosphoglycerate mutase, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),Meyerhof O.; Kiessling W.; Biochem. Z.; 280 99 (1935).,35MEY/KIE2_1386," 5.4.2.1                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry,, B,301.15,,4,,,,,,,
26,26, phosphoglycerate mutase, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),Meyerhof O.; Lohmann K.; Biochem. Z.; 275 430 (1935).,35MEY/LOH_1102," 4.1.2.13 & 5.3.1.1                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, phosphate, C,293.15,,,,58,,,,,
27,27,nan,nan,,,,,,,313.15,,,,64,,,,,
28,28, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Schulz W.; Biochem. Z.; 281 292 (1935).,35MEY/SCH_797," 3.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, phosphate, C,293.15,,,,-31,,,,,
29,29, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Schulz W.; Biochem. Z.; 281 292 (1935).,35MEY/SCH_798," 3.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, phosphate, C,293.15,,,,-44.8,,,,,
30,30, alkaline phosphatase, phospho-L-arginine(aq) + H2O(l) = L-arginine(aq) + orthophosphate(aq),Meyerhof O.; Schulz W.; Biochem. Z.; 281 292 (1935).,35MEY/SCH_802," 3.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, phosphate, C,293.15,,,,-34.5,,,,,
31,31, alkaline phosphatase, phosphocreatine(aq) + H2O(l) = creatine(aq) + orthophosphate(aq),Meyerhof O.; Schulz W.; Biochem. Z.; 281 292 (1935).,35MEY/SCH_805," 3.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, phosphate, C,293.15,,,,-35.4,,,,,
32,32, alkaline phosphatase, (R)-3-phosphoglycerate(aq) + H2O(l) = (R)-glycerate(aq) + orthophosphate(aq),Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101," 4.1.2.13 & 5.3.1.1                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry,, C,273.15,7,0.00014,,,0.006 salt & 0.006 salt,,,,MgCl2
33,33,nan,nan,,,,,,,273.15,7,0.000071,,,0.12 salt & 0.12 salt,,,,MgCl2
34,34,nan,nan,,,,,,,273.15,7,0.00032,,,-- salt & -- salt,,,,
35,35,nan,nan,,,,,,,293.15,7,0.0014,,,0.0012 salt & 0.0012 salt,,,,MgCl2
36,36,nan,nan,,,,,,,293.15,7,0.0011,,,0.0025 salt & 0.0025 salt,,,,MgCl2
37,37,nan,nan,,,,,,,293.15,7,0.00064,,,0.006 salt & 0.006 salt,,,,MgCl2
38,38,nan,nan,,,,,,,293.15,7,0.00051,,,0.012 salt & 0.012 salt,,,,MgCl2
39,39,nan,nan,,,,,,,293.15,7,0.00031,,,0.031 salt & 0.031 salt,,,,MgCl2
40,40,nan,nan,,,,,,,293.15,7,0.00035,,,0.06 salt & 0.06 salt,,,,MgCl2
41,41,nan,nan,,,,,,,293.15,7,0.00037,,,0.06 salt & 0.06 salt,,,,MgCl2
42,42,nan,nan,,,,,,,293.15,7,0.00029,,,0.12 salt & 0.12 salt,,,,MgCl2
43,43,nan,nan,,,,,,,293.15,7,0.00035,,,0.12 salt & 0.12 salt,,,,MgCl2
44,44,nan,nan,,,,,,,293.15,7,0.00035,,,0.24 salt & 0.24 salt,,,,MgCl2
45,45,nan,nan,,,,,,,293.15,7,0.00055,,,0.2 salt & 0.2 salt,,,,Na2SO4
46,46,nan,nan,,,,,,,293.15,7,0.0011,,,0.043 salt & 0.043 salt,,,,NaCl
47,47,nan,nan,,,,,,,293.15,7,0.00075,,,0.21 salt & 0.21 salt,,,,NaCl
48,48,nan,nan,,,,,,,293.15,7,0.00047,,,0.9 salt & 0.9 salt,,,,NaCl
49,49,nan,nan,,,,,,,293.15,7,0.0015,,,-- salt & -- salt,,,,
50,50,nan,nan,,,,,,,313.15,7,0.0056,,,0.0012 salt & 0.0012 salt,,,,MgCl2
51,51,nan,nan,,,,,,,313.15,7,0.0025,,,0.006 salt & 0.006 salt,,,,MgCl2
