Reference:,Reference ID:,EC Value:,Method:,Buffer:,Evaluation:,T(K),pH ,K<sub>c</sub>' ,c(Mg)tot(mol dm<sup>-3</sup>),Km' ,"c(Tris,mol dm<sup>-3</sup>)",ë«<sub>r</sub>H(kJ.mol<sup>-1</sup>),c(MgCl2) ,p(MPa),"c(glycerol,mol dm<sup>-3</sup>)",buffer ,"c(CaCl2,mol dm<sup>-3</sup>)",ë«<sub>r</sub>H(cal)/(n<sup>-1</sup>,"ë«<sub>r</sub>H(cal)/,kJ.mol<sup>-1</sup>)",c(nucleotide)tot(mol dm<sup>-3</sup>),"m(MgCl2,mol.kg<sup>-1</sup>)",K<sub>c</sub>'(mol dm<sup>-3</sup>),"c(NaCl,mol dm<sup>-3</sup>)",ë«<sub>r</sub>H'<sup>o</sup>(kJ.mol<sup>-1</sup>),pMg ,ë«<sub>r</sub>H(cal) ,I<sub>c</sub>(kJ.mol<sup>-1</sup>),"c(Mg2+,mol dm<sup>-3</sup>)",I<sub>m</sub>(mol.kg<sup>-1</sup>),"ë«<sub>r</sub>Hcal,kJ.mol<sup>-1</sup>)",buffer(mol dm<sup>-3</sup>),"c(salt,mol dm<sup>-3</sup>)","c(KCl,mol dm<sup>-3</sup>)",protein ,media ,ë«<sub>r</sub>H<sup>o</sup>(kJ.mol<sup>-1</sup>),buffer and/or salt ,salt ,"c(MgCl2,mol dm<sup>-3</sup>)","c(total substrate,mol dm<sup>-3</sup>)",ë«<sub>r</sub>H(cal)/kJ mol<sup>-1</sup>),added solute ,I<sub>c</sub>(mol dm<sup>-3</sup>),I<sub>c</sub> ,kJ.mol<sup>-1</sup>),"m(KCl,mol.kg<sup>-3</sup>)",percent(dimethyl sulfoxide) ,"c(MgSO4,mol dm<sup>-3</sup>)",cosolvent ,"c(phosphate,mol dm<sup>-3</sup>)",ë«<sub>r</sub>H?(kJ.mol<sup>-1</sup>),K<sub>c</sub> ,solvent ,"c(MnCl2,mol dm<sup>-3</sup>)",K'(kJ.mol<sup>-1</sup>),K ,K' 
,,,,,,293.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39
,,,,,,313.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54
,,,,,,333.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7
Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1100," 4.1.2.13 & 5.3.1.1                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry,, C,266.15,7,0.00018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,273.15,7,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,293.15,7,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,333.15,7,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,343.15,7,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akano R.; Biochem. Z.; 280 110 (1935).,35AKA_1170," 4.2.1.11                                                    (ENZYME |                                                 KEGG)                                                ",,, C,301.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
Jacobsohn K.P.; Tapadinhas J.; Biochem. Z.; 282 374 (1935).,35JAC/TAP_1207," 4.3.1.1                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry and chemical analysis, barbital, C,278.15,7,0.0024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,310.15,7,0.0076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meyerhof O.; Kiessling W.; Biochem. Z.; 276 239 (1935).,35MEY/KIE_1385," 5.4.2.1                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry,, C,273.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3
,,,,,,301.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85
,,,,,,311.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.45
,,,,,,333.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
Meyerhof O.; Kiessling W.; Biochem. Z.; 280 99 (1935).,35MEY/KIE2_1386," 5.4.2.1                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry,, B,301.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Meyerhof O.; Lohmann K.; Biochem. Z.; 275 430 (1935).,35MEY/LOH_1102," 4.1.2.13 & 5.3.1.1                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, phosphate, C,293.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,
,,,,,,313.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,
Meyerhof O.; Schulz W.; Biochem. Z.; 281 292 (1935).,35MEY/SCH_797," 3.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, phosphate, C,293.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-31,,,,,,,,,,,,,,,,
Meyerhof O.; Schulz W.; Biochem. Z.; 281 292 (1935).,35MEY/SCH_798," 3.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, phosphate, C,293.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-44.8,,,,,,,,,,,,,,,,
Meyerhof O.; Schulz W.; Biochem. Z.; 281 292 (1935).,35MEY/SCH_802," 3.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, phosphate, C,293.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-34.5,,,,,,,,,,,,,,,,
Meyerhof O.; Schulz W.; Biochem. Z.; 281 292 (1935).,35MEY/SCH_805," 3.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, phosphate, C,293.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-35.4,,,,,,,,,,,,,,,,
Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101," 4.1.2.13 & 5.3.1.1                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry,, C,273.15,7,0.00014,,,,,,,,,,,,,,,,,,,,,,,,0.006,,,,,,MgCl2,,,,,,,,,,,,,,,,,,,
,,,,,,273.15,7,0.000071,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,MgCl2,,,,,,,,,,,,,,,,,,,
,,,,,,273.15,7,0.00032,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,none,,,,,,,,,,,,,,,,,,,
,,,,,,293.15,7,0.0014,,,,,,,,,,,,,,,,,,,,,,,,0.0012,,,,,,MgCl2,,,,,,,,,,,,,,,,,,,
,,,,,,293.15,7,0.0011,,,,,,,,,,,,,,,,,,,,,,,,0.0025,,,,,,MgCl2,,,,,,,,,,,,,,,,,,,
,,,,,,293.15,7,0.00064,,,,,,,,,,,,,,,,,,,,,,,,0.006,,,,,,MgCl2,,,,,,,,,,,,,,,,,,,
,,,,,,293.15,7,0.00051,,,,,,,,,,,,,,,,,,,,,,,,0.012,,,,,,MgCl2,,,,,,,,,,,,,,,,,,,
,,,,,,293.15,7,0.00031,,,,,,,,,,,,,,,,,,,,,,,,0.031,,,,,,MgCl2,,,,,,,,,,,,,,,,,,,
,,,,,,293.15,7,0.00035,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,MgCl2,,,,,,,,,,,,,,,,,,,
,,,,,,293.15,7,0.00037,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,MgCl2,,,,,,,,,,,,,,,,,,,
,,,,,,293.15,7,0.00029,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,MgCl2,,,,,,,,,,,,,,,,,,,
,,,,,,293.15,7,0.00035,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,MgCl2,,,,,,,,,,,,,,,,,,,
,,,,,,293.15,7,0.00035,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,MgCl2,,,,,,,,,,,,,,,,,,,
,,,,,,293.15,7,0.00055,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,Na2SO4,,,,,,,,,,,,,,,,,,,
,,,,,,293.15,7,0.0011,,,,,,,,,,,,,,,,,,,,,,,,0.043,,,,,,NaCl,,,,,,,,,,,,,,,,,,,
,,,,,,293.15,7,0.00075,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,NaCl,,,,,,,,,,,,,,,,,,,
,,,,,,293.15,7,0.00047,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,NaCl,,,,,,,,,,,,,,,,,,,
,,,,,,293.15,7,0.0015,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,313.15,7,0.0056,,,,,,,,,,,,,,,,,,,,,,,,0.0012,,,,,,MgCl2,,,,,,,,,,,,,,,,,,,
,,,,,,313.15,7,0.0025,,,,,,,,,,,,,,,,,,,,,,,,0.006,,,,,,MgCl2,,,,,,,,,,,,,,,,,,,
,,,,,,313.15,7,0.002,,,,,,,,,,,,,,,,,,,,,,,,0.012,,,,,,MgCl2,,,,,,,,,,,,,,,,,,,
,,,,,,313.15,7,0.0014,,,,,,,,,,,,,,,,,,,,,,,,0.031,,,,,,MgCl2,,,,,,,,,,,,,,,,,,,
,,,,,,313.15,7,0.0064,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,none,,,,,,,,,,,,,,,,,,,
,,,,,,333.15,7,0.015,,,,,,,,,,,,,,,,,,,,,,,,0.0012,,,,,,MgCl2,,,,,,,,,,,,,,,,,,,
,,,,,,333.15,7,0.0082,,,,,,,,,,,,,,,,,,,,,,,,0.006,,,,,,MgCl2,,,,,,,,,,,,,,,,,,,
,,,,,,333.15,7,0.0056,,,,,,,,,,,,,,,,,,,,,,,,0.012,,,,,,MgCl2,,,,,,,,,,,,,,,,,,,
,,,,,,333.15,7,0.0046,,,,,,,,,,,,,,,,,,,,,,,,0.031,,,,,,MgCl2,,,,,,,,,,,,,,,,,,,
,,,,,,333.15,7,0.0012,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,MgCl2,,,,,,,,,,,,,,,,,,,
,,,,,,333.15,7,0.019,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,none,,,,,,,,,,,,,,,,,,,
von Euler H.; Adler E.; Hellstrvm H.; Hoppe-Seyler's Z. Physiol. Chem.; 241 239 (1936).,36EUL/ADL_7," 1.1.1.1                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate, C,298.15,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.30E-05
,,,,,,298.15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.30E-05
,,,,,,298.15,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00013
Lehman H.; Biochem. Z.; 286 336 (1936).,36LEH_589," 2.7.3.2                                                    (ENZYME |                                                 KEGG)                                                ", chemical analysis, carbonate + bicarbonate, C,293.15,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13
,,,,,,293.15,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48
Lehman H.; Biochem. Z.; 286 336 (1936).,36LEH_614," 2.7.3.3                                                    (ENZYME |                                                 KEGG)                                                ", chemical analysis, carbonate + bicarbonate, C,293.15,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323
Meyerhof O.; Lohmann K.; Schuster Ph.; Biochem. Z.; 286 301 (1936).,36MEY/LOH_1099," 4.1.2.13                                                    (ENZYME |                                                 KEGG)                                                ", chemical analysis, phosphate, C,273.15,,0.0021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,293.15,,0.0029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,313.15,,0.0067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meyerhof O.; Schulz W.; Biochem. Z. 289 87 (1936).,36MEY/SCH_1096," 4.1.2.13                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, phosphate, C,298.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-60.2,,,,,,,,,,,,,,,,
Veibel S.; Enzymologia; 1 124 (1936).,36VEI_914," 3.2.1.21                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry,, C,277.15,,8.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,303.15,,9.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veibel S.; Enzymologia; 1 124 (1936).,36VEI_915," 3.2.1.21                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry,, C,277.15,,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,303.15,,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veibel S.; Enzymologia; 1 124 (1936).,36VEI_917," 3.2.1.21                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry,, C,277.15,,7.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,303.15,,7.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veibel S.; Enzymologia; 1 124 (1936).,36VEI_922," 3.2.1.21                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry,, C,277.15,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,303.15,,4.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veibel S.; Enzymologia; 1 124 (1936).,36VEI_923," 3.2.1.21                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry,, C,277.15,,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,303.15,,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veibel S.; Enzymologia; 1 124 (1936).,36VEI_924," 3.2.1.21                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry,, C,277.15,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,303.15,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veibel S.; Enzymologia; 1 124 (1936).,36VEI_925," 3.2.1.21                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry,, C,277.15,,8.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,303.15,,9.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veibel S.; Enzymologia; 1 124 (1936).,36VEI_926," 3.2.1.21                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry,, C,277.15,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,303.15,,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adler E.; Sreenivasaya M.; Hoppe-Seyler's Z. Physiol. Chem.; 249 24 (1937).,37ADL/SRE_8," 1.1.1.1                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry,, D,298.15,6.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00E-06
,,,,,,298.15,7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.70E-05
,,,,,,298.15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20E-05
von Euler H.; Adler E.; G|nther G.; Hoppe-Seyler's Z. Physiol. Chem.; 247 65 (1937).,37EUL/ADL_127," 1.1.1.37                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate, C,298.15,7.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.30E-05
,,,,,,298.15,7.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50E-05
,,,,,,298.15,7.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00E-05
,,,,,,298.15,7.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00011
,,,,,,298.15,8.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002
,,,,,,298.15,8.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005
,,,,,,298.15,8.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00063
von Euler H.; Adler E.; G|nther G.; Hoppe-Seyler's Z. Physiol. Chem.; 247 65 (1937).,37EUL/ADL_95," 1.1.1.27                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate, C,298.15,7.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.70E-05
,,,,,,298.15,7.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.30E-05
,,,,,,298.15,7.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00051
,,,,,,298.15,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0011
,,,,,,298.15,8.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0014
,,,,,,298.15,8.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002
,,,,,,298.15,8.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025
von Euler H.; Adler E.; G|nther G.; Hoppe-Seyler's Z. Physiol. Chem.; 249 1 (1937).,37EUL/ADL2_42," 1.1.1.8                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate, C,298.15,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60E-05
,,,,,,298.15,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00059
,,,,,,298.15,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003
von Euler H.; Adler E.; G|nther G.; Hellstrvm H.; Hoppe-Seyler's Z. Physiol. Chem.; 245 217 (1937).,37EUL/ADL3_96," 1.1.1.27                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate, C,298.15,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.10E-06
,,,,,,298.15,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.60E-06
,,,,,,298.15,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.10E-05
,,,,,,298.15,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00E-05
,,,,,,298.15,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002
,,,,,,298.15,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00029
,,,,,,298.15,8.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00029
,,,,,,298.15,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00015
,,,,,,298.15,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00033
Negelein E.; Wulff H.-J.; Biochem. Z.; 293 351 (1937).,37NEG/WUL_9," 1.1.1.1                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate, C,293.15,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000741
von Euler H.; Adler E.; G|nther G.; Das N.B.; Hoppe-Seyler's Z. Physiol. Chem.; 254 61 (1938).,38EUL/ADL_273," 1.4.1.2                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate, C,298.15,6.05,3.90E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,298.15,6.63,1.30E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,298.15,7.01,1.30E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,298.15,7.26,7.60E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,298.15,7.36,6.50E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,298.15,7.39,9.40E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,298.15,7.4,7.90E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,298.15,7.43,1.50E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,298.15,7.45,1.70E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,298.15,7.57,7.70E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,298.15,7.6,2.00E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,298.15,7.66,1.10E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
