,undescribed compounds
0,(S)-malate
1,(R)-3-phosphoglycerate
2,(R)-glycerate
3,L-α-glycerophosphate
4,N-acetylethanolamine phosphate
5,N-acetylethanolamine
6,ADP3-
7,AMP2--
8,acetyl phosphate2-
9,D-glucose 6-phosphate2-
10,phosphoenolpyruvate3-
11,3-hydroxypropyl phosphate
12,methyl α-D-glucopyranoside 6-phosphate
13,methyl α-D-glucopyranose
14,methyl β-D-ribofuranoside 5-phosphate
15,methyl β-D-ribofuranose
16,monoethyl phosphate
17,4-nitrophenyl phenylphosphonate
18,1-naphthyl phosphate
19,ethylene glycol phosphate
20,desamino NAD
21,desamino NADH
22,vitamin A alcohol
23,AP-NAD
24,AP-NADH
25,cis-3-hexene-1-ol
26,trans-2-hexene-1-ol
27,cyclocreatine
28,phosphocyclocreatine
29,ATP-β-S
30,ADP-β-S
31,"adenosine 5'-(α,β-methylene)triphosphate"
32,"adenosine 5'-(α,β-methylene)diphosphate"
33,β-guanadinopropionate
34,phospho-β-guanadinopropionate
35,β-guanidopropionate
36,β-phosphoguanidopropionate
37,Nω-phospho-L-arginine
38,methylerythrulose 1-phosphate
39,"5,6-dideoxyfructose 1-phosphate"
40,1-butyl β-D-glucopyranoside
41,2-butyl β-D-glucopyranoside
42,(1)-2-butanol
43,ethyl β-D-glucopyranoside
44,methyl β-D-glucopyranoside
45,2-methyl-1-propyl β-D-glucopyranoside
46,2-methyl-2-propyl β-D-glucopyranoside
47,1-propyl β-D-glucopyranoside
48,2-propyl β-D-glucopyranoside
49,β-gentiobiose
50,α-D-melibiose
51,(S)-lactate
52,"2,4-dihydroxybutanoate"
53,2-oxo-4-hydroxybutanoate
54,(E)-dihydroxyfumarate
55,2-oxo-3-hydroxysuccinate
56,2-oxo-3-hydroxybutanedioic acid
57,α-D-glucose 1-phosphate
58,α-D-glucose 6-phosphate
59,"α-D-glucose 1,6-diphosphate"
60,6-thioglucose 6-phosphate
61,6-thioglucose 1-phosphate
62,ADP-N1-oxide
63,ATP-N1-oxide
64,(3-phospho-D-glycerol-aminomethyl)phosphonate
65,(3-phospho-D-glycerol-chloroethyl)phosphonate
66,(chloromethyl)phosphonate
67,(3-phospho-D-glycerol-chloromethyl)phosphonate
68,(3-phospho-D-glycerol-ethyl)phosphonate
69,(methoxy)phosphonate
70,(3-phospho-D-glycerol-methoxy)phosphonate
71,(3-phospho-D-glycerol-methyl)phosphonate
72,(3-phospho-D-glyceroyl)phosphonate
73,β-nicotinamide mononucleotide
74,propionylcholine
75,2-deoxy-α-D-ribose 1-phosphate
76,α-D-ribose 1-phosphate
77,G(u-6)
78,G(v-7)
79,cyclomaltooctaose
80,G(w-8)
81,6-amino-D-glucose 6-phosphate
82,6-amino-D-fructose 6-phosphate
83,N-benzoyl-L-tyrosylglycinamide
84,N-benzoyl-L-tyrosine
85,N-benzoyl-L-tyrosylglycine
86,N-benzoyl-L-tyrosinamide
87,N-benzoyl-L-tyrosylglycinanilide
88,glycylanalide
89,N-acetyl-L-tyrosine hydroxamic acid
90,N-acetyl-L-tryptophan ethyl ester
91,N-acetyl-L-phenylalanine methyl ester
92,N-acetyl-L-phenylalanylglycinamide
93,3-(2-furyl)acryloylimidazole
94,furylacrylic acid
95,N-acetyl-L-tryptophan phenylethyl ester
96,2-propylhippurate
97,N-acetyl-L-phenylalanine ethyl ester
98,O-α-D-galactopyranosyl-(1->6)-O-α-D-galactopyranosyl-(1->6)-α-D-glucopyranose
99,ammonium carbamate
100,benzyloxycarbonylglycyl-L-phenylalanine
101,benzyloxycarbonylglycyl-L-leucine
102,β-D-glucose 1-phosphate
103,α-D-galactose 1-phosphate
104,β-D-glucose
105,β-D-allose
106,propanonyl-CoA
107,(R)-3-hydroxybutanoate
108,n-heptanoyl-CoA
109,2-oxoglutarate\+ AP-NADH
110,N-(L-argino)succinate
111,glycyl-L-phenylalaninamide
112,reduced indophenol
113,cis-cis-hexadienedioate
114,(-)-4-carboxymethyl-Δ-α--but-2-en-4-olide
115,cis-trans-hexadienedioate
116,(S)-3-hydroxybutanoyl-CoA
117,(S)-3-hydroxyhexanoyl-CoA
118,N-(5-amino-1-β-D-ribosyl-4-imidazoyl-carbonyl)-L-aspartic acid 5'-phosphate
119,5-amino-1-β-D-ribosyl-4-imidazolecarboxamide 5'-phosphate
120,(R)-lactate
121,ATP4-
