,index,Enzyme:,Reaction:,Reference:,Reference ID:,T(K),pH ,K<sub>c</sub>' ,δ<sub>r</sub>H'<sup>o</sup>(kJ.mol<sup>-1</sup>),Km',δ<sub>r</sub>H(kJ.mol<sup>-1</sup>),K<sub>c</sub> ,"m(KCl,mol.kg<sup>-3</sup>)",added solute ,δ<sub>r</sub>H<sup>o</sup>(kJ.mol<sup>-1</sup>),cosolvent ,δ<sub>r</sub>H?(kJ.mol<sup>-1</sup>),Km' ,media ,Method:,salt ,c(Mg)tot(mol dm<sup>-3</sup>),"c(Tris,mol dm<sup>-3</sup>)",p(MPa),"c(NaCl,mol dm<sup>-3</sup>)",I<sub>c</sub> ,"c(MgCl2,mol dm<sup>-3</sup>)",buffer and/or salt ,Buffer:,K ,"c(CaCl2,mol dm<sup>-3</sup>)",buffer(mol dm<sup>-3</sup>),solvent ,"c(MgSO4,mol dm<sup>-3</sup>)",I<sub>c</sub>(kJ.mol<sup>-1</sup>),δ<sub>r</sub>H(cal)/(n<sup>-1</sup>,kJ.mol<sup>-1</sup>),"c(Mg2+,mol dm<sup>-3</sup>)","c(salt,mol dm<sup>-3</sup>)",pMg ,"δ<sub>r</sub>H(cal)/,kJ.mol<sup>-1</sup>)",EC Value:,"δ<sub>r</sub>Hcal,kJ.mol<sup>-1</sup>)",K' ,"c(phosphate,mol dm<sup>-3</sup>)",percent(dimethyl sulfoxide) ,"c(total substrate,mol dm<sup>-3</sup>)",δ<sub>r</sub>H(cal) ,"m(MgCl2,mol.kg<sup>-1</sup>)",buffer ,"c(glycerol,mol dm<sup>-3</sup>)",K<sub>c</sub>'(mol dm<sup>-3</sup>),"c(MnCl2,mol dm<sup>-3</sup>)",I<sub>c</sub>(mol dm<sup>-3</sup>),I<sub>m</sub>(mol.kg<sup>-1</sup>),c(MgCl2) ,δ<sub>r</sub>H(cal)/kJ mol<sup>-1</sup>),"c(KCl,mol dm<sup>-3</sup>)",K'(kJ.mol<sup>-1</sup>),protein ,c(nucleotide)tot(mol dm<sup>-3</sup>)
0,39, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,273.15,7,0.00014, ,, , , , , , , , , , spectrophotometry,MgCl2, , , , , , , , , , , , , , , , , ,0.006, , ," 4.1.2.13 & 5.3.1.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , , , , , , , , , , , , , , , , 
1,40, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,273.15,7,7.1e-05, ,, , , , , , , , , , ,MgCl2, , , , , , , , , , , , , , , , , ,0.12, , , , , , , , , , , , , , , , , , , , , , 
2,41, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,273.15,7,0.00032, ,, , , , , , , , , , ,none, , , , , , , , , , , , , , , , , ,--, , , , , , , , , , , , , , , , , , , , , , 
3,42, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.0014, ,, , , , , , , , , , ,MgCl2, , , , , , , , , , , , , , , , , ,0.0012, , , , , , , , , , , , , , , , , , , , , , 
4,43, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.0011, ,, , , , , , , , , , ,MgCl2, , , , , , , , , , , , , , , , , ,0.0025, , , , , , , , , , , , , , , , , , , , , , 
5,44, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00064, ,, , , , , , , , , , ,MgCl2, , , , , , , , , , , , , , , , , ,0.006, , , , , , , , , , , , , , , , , , , , , , 
6,45, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00051, ,, , , , , , , , , , ,MgCl2, , , , , , , , , , , , , , , , , ,0.012, , , , , , , , , , , , , , , , , , , , , , 
7,46, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00031, ,, , , , , , , , , , ,MgCl2, , , , , , , , , , , , , , , , , ,0.031, , , , , , , , , , , , , , , , , , , , , , 
8,47, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00035, ,, , , , , , , , , , ,MgCl2, , , , , , , , , , , , , , , , , ,0.06, , , , , , , , , , , , , , , , , , , , , , 
9,48, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00037, ,, , , , , , , , , , ,MgCl2, , , , , , , , , , , , , , , , , ,0.06, , , , , , , , , , , , , , , , , , , , , , 
10,49, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00029, ,, , , , , , , , , , ,MgCl2, , , , , , , , , , , , , , , , , ,0.12, , , , , , , , , , , , , , , , , , , , , , 
11,50, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00035, ,, , , , , , , , , , ,MgCl2, , , , , , , , , , , , , , , , , ,0.12, , , , , , , , , , , , , , , , , , , , , , 
12,51, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00035, ,, , , , , , , , , , ,MgCl2, , , , , , , , , , , , , , , , , ,0.24, , , , , , , , , , , , , , , , , , , , , , 
13,52, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00055, ,, , , , , , , , , , ,Na2SO4, , , , , , , , , , , , , , , , , ,0.2, , , , , , , , , , , , , , , , , , , , , , 
14,53, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.0011, ,, , , , , , , , , , ,NaCl, , , , , , , , , , , , , , , , , ,0.043, , , , , , , , , , , , , , , , , , , , , , 
15,54, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00075, ,, , , , , , , , , , ,NaCl, , , , , , , , , , , , , , , , , ,0.21, , , , , , , , , , , , , , , , , , , , , , 
16,55, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00047, ,, , , , , , , , , , ,NaCl, , , , , , , , , , , , , , , , , ,0.90, , , , , , , , , , , , , , , , , , , , , , 
17,56, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.0015, ,, , , , , , , , , , ,none, , , , , , , , , , , , , , , , , ,--, , , , , , , , , , , , , , , , , , , , , , 
18,57, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,313.15,7,0.0056, ,, , , , , , , , , , ,MgCl2, , , , , , , , , , , , , , , , , ,0.0012, , , , , , , , , , , , , , , , , , , , , , 
19,58, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,313.15,7,0.0025, ,, , , , , , , , , , ,MgCl2, , , , , , , , , , , , , , , , , ,0.006, , , , , , , , , , , , , , , , , , , , , , 
20,59, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,313.15,7,0.002, ,, , , , , , , , , , ,MgCl2, , , , , , , , , , , , , , , , , ,0.012, , , , , , , , , , , , , , , , , , , , , , 
21,60, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,313.15,7,0.0014, ,, , , , , , , , , , ,MgCl2, , , , , , , , , , , , , , , , , ,0.031, , , , , , , , , , , , , , , , , , , , , , 
22,61, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,313.15,7,0.0064, ,, , , , , , , , , , ,none, , , , , , , , , , , , , , , , , ,--, , , , , , , , , , , , , , , , , , , , , , 
23,62, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,333.15,7,0.015, ,, , , , , , , , , , ,MgCl2, , , , , , , , , , , , , , , , , ,0.0012, , , , , , , , , , , , , , , , , , , , , , 
24,63, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,333.15,7,0.0082, ,, , , , , , , , , , ,MgCl2, , , , , , , , , , , , , , , , , ,0.006, , , , , , , , , , , , , , , , , , , , , , 
25,64, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,333.15,7,0.0056, ,, , , , , , , , , , ,MgCl2, , , , , , , , , , , , , , , , , ,0.012, , , , , , , , , , , , , , , , , , , , , , 
26,65, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,333.15,7,0.0046, ,, , , , , , , , , , ,MgCl2, , , , , , , , , , , , , , , , , ,0.031, , , , , , , , , , , , , , , , , , , , , , 
27,66, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,333.15,7,0.0012, ,, , , , , , , , , , ,MgCl2, , , , , , , , , , , , , , , , , ,0.12, , , , , , , , , , , , , , , , , , , , , , 
28,67, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,333.15,7,0.019, ,, , , , , , , , , , ,none, , , , , , , , , , , , , , , , , ,--, , , , , , , , , , , , , , , , , , , , , , 
0,68, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289,273.15,7,0.00014, ,, , , , , , , , , , spectrophotometry,MgCl2, , , , , , , , , , , , , , , , , ,0.006, , ," 5.3.1.1 & 4.1.2.13                                                    (ENZYME |                                                 KEGG)                                                ", , , , , , , , , , , , , , , , , , , 
1,69, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,273.15,7,7.1e-05, ,, , , , , , , , , , ,MgCl2, , , , , , , , , , , , , , , , , ,0.12, , , , , , , , , , , , , , , , , , , , , , 
2,70, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,273.15,7,0.00032, ,, , , , , , , , , , ,none, , , , , , , , , , , , , , , , , ,--, , , , , , , , , , , , , , , , , , , , , , 
3,71, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.0014, ,, , , , , , , , , , ,MgCl2, , , , , , , , , , , , , , , , , ,0.0012, , , , , , , , , , , , , , , , , , , , , , 
4,72, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.0011, ,, , , , , , , , , , ,MgCl2, , , , , , , , , , , , , , , , , ,0.0025, , , , , , , , , , , , , , , , , , , , , , 
5,73, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00064, ,, , , , , , , , , , ,MgCl2, , , , , , , , , , , , , , , , , ,0.006, , , , , , , , , , , , , , , , , , , , , , 
6,74, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00051, ,, , , , , , , , , , ,MgCl2, , , , , , , , , , , , , , , , , ,0.012, , , , , , , , , , , , , , , , , , , , , , 
7,75, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00031, ,, , , , , , , , , , ,MgCl2, , , , , , , , , , , , , , , , , ,0.031, , , , , , , , , , , , , , , , , , , , , , 
