ID	Equation
aspartate ammonia-lyase	cpd00041 = cpd00106 + cpd00013
phosphopyruvate hydratase	cpd00482 = cpd00061 + cpd00001
fructose-biphosphate aldolase and triose-phosphate isomerase	cpd00290 = cpd00095
triose-phosphate isomerase and fructose-bisphosphate aldolase	cpd00290 = cpd00095
phosphoglycerate mutase	cpd00482 = cpd00169
alkaline phosphatase	cpd03535 + cpd00001 = cpd00051 + cpd00009
alkaline phosphatase	cpd01550 + cpd00001 = cpd00250 + cpd00009
alkaline phosphatase	cpd00061 + cpd00001 = cpd00020 + cpd00009
alkaline phosphatase	cpd00290 + cpd00001 = cpd00802 + cpd00009
alkaline phosphatase	cpd00290 + cpd00001 = cpd00072 + cpd00009
alkaline phosphatase	cpd00802 + cpd00001 = cpd00072 + cpd00009
alkaline phosphatase	cpd00072 + cpd00001 = cpd00072 + cpd00009
alkaline phosphatase	cpd00818 + cpd00001 = cpd00043 + cpd00009
alkaline phosphatase	cpd00079 + cpd00001 = cpd00026 + cpd00009
alkaline phosphatase	cpd00235 + cpd00001 = cpd00083 + cpd00009
alkaline phosphatase	cpd02135 + cpd00001 = cpd00646 + cpd00009
alkaline phosphatase	cpd02023 + cpd00001 = cpd00451 + cpd00009
alkaline phosphatase	cpd02015 + cpd00001 = cpd01345 + cpd00009
alkaline phosphatase	cpd00002 + cpd00001 = cpd00009
alkaline phosphatase	cpd00431 + cpd00001 = cpd00098 + cpd00009
alkaline phosphatase	cpd00031 + cpd00001 = cpd00031 + cpd00009
alkaline phosphatase	cpd00126 + cpd00001 = cpd00031 + cpd00009
alkaline phosphatase	cpd00038 + cpd00001 = cpd00031 + cpd00009
alkaline phosphatase	cpd01773 + cpd00001 = cpd00077 + cpd00009
alkaline phosphatase	cpd00101 + cpd00001 = cpd00101 + cpd00009
alkaline phosphatase	cpd00171 + cpd00001 = cpd00171 + cpd00009
alkaline phosphatase	cpd00018 + cpd00001 = cpd00002 + cpd00009
alkaline phosphatase	cpd00114 + cpd00001 = cpd00068 + cpd00009
alcohol dehydrogenase	cpd00116 + cpd00003 = cpd00071 + cpd00004
alcohol dehydrogenase	cpd01269 + cpd00003 = cpd00095 + cpd00004
alcohol dehydrogenase	cpd00636 + cpd00003 = cpd00329 + cpd00004
alcohol dehydrogenase	cpd01641 + cpd00003 = cpd01585 + cpd00004
alcohol dehydrogenase	cpd10394 + cpd00003 = cpd15618 + cpd00004
alcohol dehydrogenase	cpd00562 + cpd00003 = cpd01088 + cpd00004
alcohol dehydrogenase	cpd03662 + cpd00003 = cpd00434 + cpd00004
alcohol dehydrogenase	cpd00435 + cpd00003 = cpd00225 + cpd00004
alcohol dehydrogenase	cpd01872 + cpd00003 = cpd00102 + cpd00004
creatine kinase	cpd00002 + cpd00250 = cpd00005 + cpd01550
fructose-biphosphate aldolase	cpd00802 = cpd00102 + cpd00095
fructose-biphosphate aldolase	cpd00290 = cpd00095 + cpd00102
_-glucosidase	cpd00158 + cpd00001 = cpd00026
L-lactate dehydrogenase	cpd00139 + cpd00003 = cpd00040 + cpd00004
L-lactate dehydrogenase	cpd00498 + cpd00003 = cpd00094 + cpd00004
glutamate dehydrogenase	cpd00023 + cpd00003 + cpd00001 = cpd00024 + cpd00004 + cpd00013
