,separated enzymes,conjoined enzymes
0,aspartate ammonia-lyase,aspartate ammonia-lyase
1,fumarate hydratase,fumarate hydratase
2,phosphopyruvate hydratase,phosphopyruvate hydratase
3,triose-phosphate isomerase,fructose-biphosphate aldolase and triose-phosphate isomerase
4,fructose-biphosphate aldolase,triose-phosphate isomerase and fructose-bisphosphate aldolase
5,fructose-bisphosphate aldolase,phosphoglycerate mutase
6,phosphoglycerate mutase,alkaline phosphatase
7,alkaline phosphatase,alcohol dehydrogenase
8,alcohol dehydrogenase,creatine kinase
9,creatine kinase,arginine kinase
10,arginine kinase,fructose-biphosphate aldolase
11,_-glucosidase,_-glucosidase
12,malate dehydrogenase,malate dehydrogenase
13,L-lactate dehydrogenase,L-lactate dehydrogenase
14,glycerol-3-phosphate dehydrogenase (NAD+),glycerol-3-phosphate dehydrogenase (NAD+)
15,glutamate dehydrogenase,glutamate dehydrogenase
16,alanine transaminase,alanine transaminase
17,aspartate transaminase,aspartate transaminase
18,phosphoglucomutase,phosphoglucomutase
19,sucrose phosphorylase,sucrose phosphorylase
20,adenylate kinase,adenylate kinase
21,aconitate hydratase,aconitate hydratase
22,acetate kinase,triose-phosphate isomerase
23,glyceraldehyde-3-phosphate dehydrogenase,acetate kinase
24,acid phosphatase,glyceraldehyde-3-phosphate dehydrogenase
25,phosphoglycerate kinase,acid phosphatase
26,nicotinamide-nucleotide adenylyltransferase,phosphoglycerate kinase
27,isocitrate dehydrogenase (NADP+),nicotinamide-nucleotide adenylyltransferase
28,acetylcholinesterase,isocitrate dehydrogenase (NADP+)
29,pyruvate kinase,acetylcholinesterase
30,purine-nucleoside phosphorylase,pyruvate kinase
31,cyclomaltodextrin glucanotransferase,purine-nucleoside phosphorylase
32,mannose-6-phosphate isomerase,cyclomaltodextrin glucanotransferase
33,glucose-6-phosphate isomerase,mannose-6-phosphate isomerase
34,L-iditol dehydrogenase,glucose-6-phosphate isomerase
35,chymotrypsin,L-iditol dehydrogenase
36,alanine racemase,chymotrypsin
37,_-fructofuranosidase,alanine racemase
38,urease,_-fructofuranosidase
39,carboxypeptidase A,urease
40,maltose phosphorylase,carboxypeptidase A
41,UDPglucose-hexose 1-phosphate uridylyltransferase,maltose phosphorylase
42,UDPglucose 4-epimerase,UDPglucose 4-epimerase and UDPglucose-hexose 1-phosphate uridylyltransferase
43,glutamate racemase,UDPglucose-hexose 1-phosphate uridylyltransferase and UDPglucose 4-epimerase
44,inorganic pyrophosphatase,glutamate racemase
45,nucleotide pyrophosphatase,inorganic pyrophosphatase
46,phosphate acetyltransferase,nucleotide pyrophosphatase
47,citrate (si)-synthase,phosphate acetyltransferase
48,glucose dehydrogenase,citrate (si)-synthase and malate dehydrogenase
49,acetaldehyde dehydrogenase (acetylating),malate dehydrogenase and citrate (si)-synthase
50,arabinose isomerase,glucose dehydrogenase
