index,Enzyme:,Reaction:,T(K),pH ,I<sub>c</sub>(mol dm<sup>-3</sup>),K<sub>c</sub>' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
1493, glutamate dehydrogenase (NADP+), L-glutamate(aq) + NADP(aq) + H2O(l) = 2-oxoglutarate(aq) + NADPH(aq) + ammonia(aq),298.1,7.00,0.47,1.1E-6,Engel P.C.; Dalziel K.; Biochem. J.; 105 691 (1967).,67ENG/DAL_287," 1.4.1.4                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate
1494, glutamate dehydrogenase (NADP+), L-glutamate(aq) + NADP(aq) + H2O(l) = 2-oxoglutarate(aq) + NADPH(aq) + ammonia(aq),300.15,6.90,0.054,2.59E-7,,,,,
1495, glutamate dehydrogenase (NADP+), L-glutamate(aq) + NADP(aq) + H2O(l) = 2-oxoglutarate(aq) + NADPH(aq) + ammonia(aq),300.15,6.92,0.134,5.04E-7,,,,,
1496, glutamate dehydrogenase (NADP+), L-glutamate(aq) + NADP(aq) + H2O(l) = 2-oxoglutarate(aq) + NADPH(aq) + ammonia(aq),300.15,6.92,0.134,5.92E-7,,,,,
1497, glutamate dehydrogenase (NADP+), L-glutamate(aq) + NADP(aq) + H2O(l) = 2-oxoglutarate(aq) + NADPH(aq) + ammonia(aq),300.15,6.93,0.026,2.09E-7,,,,,
1498, glutamate dehydrogenase (NADP+), L-glutamate(aq) + NADP(aq) + H2O(l) = 2-oxoglutarate(aq) + NADPH(aq) + ammonia(aq),300.15,6.94,0.054,2.91E-7,,,,,
1499, glutamate dehydrogenase (NADP+), L-glutamate(aq) + NADP(aq) + H2O(l) = 2-oxoglutarate(aq) + NADPH(aq) + ammonia(aq),300.15,6.97,0.112,5.55E-7,,,,,
1500, glutamate dehydrogenase (NADP+), L-glutamate(aq) + NADP(aq) + H2O(l) = 2-oxoglutarate(aq) + NADPH(aq) + ammonia(aq),300.1,7.00,0.47,1.2E-6,,,,,
1501, glutamate dehydrogenase (NADP+), L-glutamate(aq) + NADP(aq) + H2O(l) = 2-oxoglutarate(aq) + NADPH(aq) + ammonia(aq),303.15,6.79,0.471,8.08E-7,,,,,
1502, glutamate dehydrogenase (NADP+), L-glutamate(aq) + NADP(aq) + H2O(l) = 2-oxoglutarate(aq) + NADPH(aq) + ammonia(aq),303.15,6.91,0.471,9.03E-7,,,,,
1503, glutamate dehydrogenase (NADP+), L-glutamate(aq) + NADP(aq) + H2O(l) = 2-oxoglutarate(aq) + NADPH(aq) + ammonia(aq),303.15,6.93,0.067,3.67E-7,,,,,
1504, glutamate dehydrogenase (NADP+), L-glutamate(aq) + NADP(aq) + H2O(l) = 2-oxoglutarate(aq) + NADPH(aq) + ammonia(aq),303.15,6.95,0.134,6.34E-7,,,,,
1505, glutamate dehydrogenase (NADP+), L-glutamate(aq) + NADP(aq) + H2O(l) = 2-oxoglutarate(aq) + NADPH(aq) + ammonia(aq),303.15,6.96,0.067,3.83E-7,,,,,
1506, glutamate dehydrogenase (NADP+), L-glutamate(aq) + NADP(aq) + H2O(l) = 2-oxoglutarate(aq) + NADPH(aq) + ammonia(aq),303.15,6.96,0.112,5.22E-7,,,,,
1507, glutamate dehydrogenase (NADP+), L-glutamate(aq) + NADP(aq) + H2O(l) = 2-oxoglutarate(aq) + NADPH(aq) + ammonia(aq),303.15,6.97,0.091,4.96E-7,,,,,
1508, glutamate dehydrogenase (NADP+), L-glutamate(aq) + NADP(aq) + H2O(l) = 2-oxoglutarate(aq) + NADPH(aq) + ammonia(aq),303.15,6.99,0.471,1.16E-6,,,,,
1509, glutamate dehydrogenase (NADP+), L-glutamate(aq) + NADP(aq) + H2O(l) = 2-oxoglutarate(aq) + NADPH(aq) + ammonia(aq),305.1,7.00,0.47,2.0E-6,,,,,
1510, glutamate dehydrogenase (NADP+), L-glutamate(aq) + NADP(aq) + H2O(l) = 2-oxoglutarate(aq) + NADPH(aq) + ammonia(aq),309.8,7.00,0.47,3.2E-6,,,,,
1511, glutamate dehydrogenase (NADP+), L-glutamate(aq) + NADP(aq) + H2O(l) = 2-oxoglutarate(aq) + NADPH(aq) + ammonia(aq),311.1,7.00,0.47,3.6E-6,,,,,
