index,Enzyme:,Reaction:,T(K),pH ,"c(Mg2+,mol dm<sup>-3</sup>)",I<sub>c</sub>(mol dm<sup>-3</sup>),K' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
2518, succinate-CoA ligase (GDP-forming), GTP(aq) + succinate(aq) + CoA(aq) = GDP(aq) + phosphate(aq) + succinyl-CoA(aq),298.15,6.82,0.00145,0.25,1.70,Lynn R.; Guynn R.W.; J. Biol. Chem.; 253 2546 (1978).,78LYN/GUY_1437," 6.2.1.4                                                    (ENZYME |                                                 KEGG)                                                ", fluorimetry and spectrophotometry, Tris (0.1 mol dm-3) + acetic acid
2519, succinate-CoA ligase (GDP-forming), GTP(aq) + succinate(aq) + CoA(aq) = GDP(aq) + phosphate(aq) + succinyl-CoA(aq),298.15,6.83,0.00143,0.25,1.25,,,,,
2520, succinate-CoA ligase (GDP-forming), GTP(aq) + succinate(aq) + CoA(aq) = GDP(aq) + phosphate(aq) + succinyl-CoA(aq),298.15,6.85,0.00144,0.25,1.54,,,,,
2521, succinate-CoA ligase (GDP-forming), GTP(aq) + succinate(aq) + CoA(aq) = GDP(aq) + phosphate(aq) + succinyl-CoA(aq),298.15,7.14,0.00129,0.25,1.66,,,,,
2522, succinate-CoA ligase (GDP-forming), GTP(aq) + succinate(aq) + CoA(aq) = GDP(aq) + phosphate(aq) + succinyl-CoA(aq),298.15,7.15,0.00124,0.25,1.68,,,,,
2523, succinate-CoA ligase (GDP-forming), GTP(aq) + succinate(aq) + CoA(aq) = GDP(aq) + phosphate(aq) + succinyl-CoA(aq),298.15,7.15,0.00126,0.25,1.58,,,,,
2524, succinate-CoA ligase (GDP-forming), GTP(aq) + succinate(aq) + CoA(aq) = GDP(aq) + phosphate(aq) + succinyl-CoA(aq),298.15,7.15,0.00127,0.25,1.82,,,,,
2525, succinate-CoA ligase (GDP-forming), GTP(aq) + succinate(aq) + CoA(aq) = GDP(aq) + phosphate(aq) + succinyl-CoA(aq),298.15,7.19,0.00126,0.25,1.72,,,,,
2526, succinate-CoA ligase (GDP-forming), GTP(aq) + succinate(aq) + CoA(aq) = GDP(aq) + phosphate(aq) + succinyl-CoA(aq),311.15,6.75,0.00133,0.25,1.03,,,,,
2527, succinate-CoA ligase (GDP-forming), GTP(aq) + succinate(aq) + CoA(aq) = GDP(aq) + phosphate(aq) + succinyl-CoA(aq),311.15,6.75,0.00133,0.25,1.03,,,,,
2528, succinate-CoA ligase (GDP-forming), GTP(aq) + succinate(aq) + CoA(aq) = GDP(aq) + phosphate(aq) + succinyl-CoA(aq),311.15,6.75,0.00133,0.25,1.04,,,,,
2529, succinate-CoA ligase (GDP-forming), GTP(aq) + succinate(aq) + CoA(aq) = GDP(aq) + phosphate(aq) + succinyl-CoA(aq),311.15,6.75,0.00140,0.25,0.72,,,,,
2530, succinate-CoA ligase (GDP-forming), GTP(aq) + succinate(aq) + CoA(aq) = GDP(aq) + phosphate(aq) + succinyl-CoA(aq),311.15,6.80,0.00145,0.25,0.79,,,,,
2531, succinate-CoA ligase (GDP-forming), GTP(aq) + succinate(aq) + CoA(aq) = GDP(aq) + phosphate(aq) + succinyl-CoA(aq),311.15,6.82,0.00138,0.25,0.53,,,,,
2532, succinate-CoA ligase (GDP-forming), GTP(aq) + succinate(aq) + CoA(aq) = GDP(aq) + phosphate(aq) + succinyl-CoA(aq),311.15,6.83,0.00142,0.25,0.87,,,,,
2533, succinate-CoA ligase (GDP-forming), GTP(aq) + succinate(aq) + CoA(aq) = GDP(aq) + phosphate(aq) + succinyl-CoA(aq),311.15,6.93,0.00133,0.25,0.82,,,,,
2534, succinate-CoA ligase (GDP-forming), GTP(aq) + succinate(aq) + CoA(aq) = GDP(aq) + phosphate(aq) + succinyl-CoA(aq),311.15,6.94,0.0189 ,0.25,0.60,,,,,
2535, succinate-CoA ligase (GDP-forming), GTP(aq) + succinate(aq) + CoA(aq) = GDP(aq) + phosphate(aq) + succinyl-CoA(aq),311.15,6.96,0.0189 ,0.25,0.63,,,,,
2536, succinate-CoA ligase (GDP-forming), GTP(aq) + succinate(aq) + CoA(aq) = GDP(aq) + phosphate(aq) + succinyl-CoA(aq),311.15,7.01,0.0139 ,0.25,0.73,,,,,
2537, succinate-CoA ligase (GDP-forming), GTP(aq) + succinate(aq) + CoA(aq) = GDP(aq) + phosphate(aq) + succinyl-CoA(aq),311.15,7.02,0.0139 ,0.25,0.68,,,,,
2538, succinate-CoA ligase (GDP-forming), GTP(aq) + succinate(aq) + CoA(aq) = GDP(aq) + phosphate(aq) + succinyl-CoA(aq),311.15,7.03,0.00131,0.25,0.82,,,,,
2539, succinate-CoA ligase (GDP-forming), GTP(aq) + succinate(aq) + CoA(aq) = GDP(aq) + phosphate(aq) + succinyl-CoA(aq),311.15,7.04,0.00666,0.25,0.75,,,,,
2540, succinate-CoA ligase (GDP-forming), GTP(aq) + succinate(aq) + CoA(aq) = GDP(aq) + phosphate(aq) + succinyl-CoA(aq),311.15,7.05,0.00666,0.25,0.79,,,,,
2541, succinate-CoA ligase (GDP-forming), GTP(aq) + succinate(aq) + CoA(aq) = GDP(aq) + phosphate(aq) + succinyl-CoA(aq),311.15,7.08,0.00130,0.25,0.72,,,,,
2542, succinate-CoA ligase (GDP-forming), GTP(aq) + succinate(aq) + CoA(aq) = GDP(aq) + phosphate(aq) + succinyl-CoA(aq),311.15,7.08,0.00134,0.25,0.72,,,,,
2543, succinate-CoA ligase (GDP-forming), GTP(aq) + succinate(aq) + CoA(aq) = GDP(aq) + phosphate(aq) + succinyl-CoA(aq),311.15,7.09,0.00128,0.25,0.74,,,,,
2544, succinate-CoA ligase (GDP-forming), GTP(aq) + succinate(aq) + CoA(aq) = GDP(aq) + phosphate(aq) + succinyl-CoA(aq),311.15,7.10,0.00132,0.25,0.61,,,,,
2545, succinate-CoA ligase (GDP-forming), GTP(aq) + succinate(aq) + CoA(aq) = GDP(aq) + phosphate(aq) + succinyl-CoA(aq),311.15,7.10,0.00133,0.25,0.77,,,,,
2546, succinate-CoA ligase (GDP-forming), GTP(aq) + succinate(aq) + CoA(aq) = GDP(aq) + phosphate(aq) + succinyl-CoA(aq),311.15,7.11,0.00130,0.25,0.53,,,,,
2547, succinate-CoA ligase (GDP-forming), GTP(aq) + succinate(aq) + CoA(aq) = GDP(aq) + phosphate(aq) + succinyl-CoA(aq),311.15,7.11,0.00130,0.25,0.65,,,,,
2548, succinate-CoA ligase (GDP-forming), GTP(aq) + succinate(aq) + CoA(aq) = GDP(aq) + phosphate(aq) + succinyl-CoA(aq),311.15,7.12,0.00011,0.25,1.00,,,,,
2549, succinate-CoA ligase (GDP-forming), GTP(aq) + succinate(aq) + CoA(aq) = GDP(aq) + phosphate(aq) + succinyl-CoA(aq),311.15,7.12,0.00125,0.25,0.79,,,,,
2550, succinate-CoA ligase (GDP-forming), GTP(aq) + succinate(aq) + CoA(aq) = GDP(aq) + phosphate(aq) + succinyl-CoA(aq),311.15,7.12,0.00131,0.25,0.54,,,,,
2551, succinate-CoA ligase (GDP-forming), GTP(aq) + succinate(aq) + CoA(aq) = GDP(aq) + phosphate(aq) + succinyl-CoA(aq),311.15,7.17,0.00115,0.25,0.52,,,,,
2552, succinate-CoA ligase (GDP-forming), GTP(aq) + succinate(aq) + CoA(aq) = GDP(aq) + phosphate(aq) + succinyl-CoA(aq),311.15,7.17,0.00116,0.25,0.63,,,,,
2553, succinate-CoA ligase (GDP-forming), GTP(aq) + succinate(aq) + CoA(aq) = GDP(aq) + phosphate(aq) + succinyl-CoA(aq),311.15,7.27,0.00128,0.25,0.54,,,,,
2554, succinate-CoA ligase (GDP-forming), GTP(aq) + succinate(aq) + CoA(aq) = GDP(aq) + phosphate(aq) + succinyl-CoA(aq),311.15,7.27,0.00128,0.25,0.56,,,,,
2555, succinate-CoA ligase (GDP-forming), GTP(aq) + succinate(aq) + CoA(aq) = GDP(aq) + phosphate(aq) + succinyl-CoA(aq),311.15,7.30,0.00127,0.25,0.50,,,,,
