,freiburger_index,du_index,noor_index,Enzyme:,KEGG Reaction:,CID Reaction:,Reaction:,Reference:,Reference ID:,T [K],pH ,Keq,Km,Method:,Buffer:,Experimental conditions,EC Value:,solutes [mol / kg],solutes [mol / dm^3],Ionic strength [mol / dm^3],Ionic strength [mol / kg],Enthalpy [kJ / mol]
0,0,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_140,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry4336,aspartate ammonia-lyase,kegg:C00049 = kegg:C00122 + kegg:C00014,nan,L-aspartate(aq) = fumarate(aq) + ammonia(aq),Quastel J.H.; Woolf B.; Biochem. J.; 20 545 (1926).,26QUA/WOO_1205,310.15,7.4,0.04,nan,chemical analysis,phosphate,nan,4.3.1.1,nan,nan,nan,nan,nan
1,1,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_141,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry2910,aspartate ammonia-lyase,kegg:C00049 = kegg:C00122 + kegg:C00014,nan,L-aspartate(aq) = fumarate(aq) + ammonia(aq),Woolf B.; Biochem. J.; 23 472 (1929).,29WOO_1206,310.15,7.4,0.01,nan,chemical analysis and polarimetry,phosphate,nan,4.3.1.1,nan,nan,nan,nan,nan
2,2,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_142,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry2129,fumarate hydratase,kegg:C00122 + kegg:C00001 = kegg:C00149,nan,fumarate(aq) + H2O(l) = (S)-malate(aq),Borsook H.; Schott H.F.; J. Biol. Chem.; 92 559 (1931).,31BOR/SCH_1141,298.15,6.81,3.1,nan,electrochemistry,nan,nan,4.2.1.2,nan,nan,nan,nan,nan
3,3,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_143,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry2130,fumarate hydratase,kegg:C00122 + kegg:C00001 = kegg:C00149,nan,fumarate(aq) + H2O(l) = (S)-malate(aq),Borsook H.; Schott H.F.; J. Biol. Chem.; 92 559 (1931).,31BOR/SCH_1141,298.15,7.12,3.3,nan,electrochemistry,nan,nan,4.2.1.2,nan,nan,nan,nan,nan
4,4,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_148,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry791,fumarate hydratase,kegg:C00122 + kegg:C00001 = kegg:C00149,nan,fumarate(aq) + H2O(l) = (S)-malate(aq),Jacobsohn K.P.; Biochem. Z.; 274 167 (1934).,34JAC_1142,278.15,6.8,8.4,nan,polarimetry,barbital,nan,4.2.1.2,nan,nan,nan,nan,nan
5,5,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_147,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry792,fumarate hydratase,kegg:C00122 + kegg:C00001 = kegg:C00149,nan,fumarate(aq) + H2O(l) = (S)-malate(aq),Jacobsohn K.P.; Biochem. Z.; 274 167 (1934).,34JAC_1142,288.15,6.8,6.5,nan,polarimetry,barbital,nan,4.2.1.2,nan,nan,nan,nan,nan
6,6,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_146,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry793,fumarate hydratase,kegg:C00122 + kegg:C00001 = kegg:C00149,nan,fumarate(aq) + H2O(l) = (S)-malate(aq),Jacobsohn K.P.; Biochem. Z.; 274 167 (1934).,34JAC_1142,298.15,6.8,5.1,nan,polarimetry,barbital,nan,4.2.1.2,nan,nan,nan,nan,nan
7,7,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_145,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry794,fumarate hydratase,kegg:C00122 + kegg:C00001 = kegg:C00149,nan,fumarate(aq) + H2O(l) = (S)-malate(aq),Jacobsohn K.P.; Biochem. Z.; 274 167 (1934).,34JAC_1142,311.15,6.8,3.8,nan,polarimetry,barbital,nan,4.2.1.2,nan,nan,nan,nan,nan
8,8,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_144,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry795,fumarate hydratase,kegg:C00122 + kegg:C00001 = kegg:C00149,nan,fumarate(aq) + H2O(l) = (S)-malate(aq),Jacobsohn K.P.; Biochem. Z.; 274 167 (1934).,34JAC_1142,327.15,6.8,2.1,nan,polarimetry,barbital,nan,4.2.1.2,nan,nan,nan,nan,nan
9,9,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_149,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry2629,phosphopyruvate hydratase,kegg:C00631 = kegg:C00074 + kegg:C00001,nan,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),Lohman K.; Meyerhof O.; Biochem. Z.; 273 60 (1934).,34LOH/MEY_1169,273.15,nan,0.33,nan,chemical analysis,nan,nan,4.2.1.11,nan,nan,nan,nan,nan
10,10,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_150,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry2627,phosphopyruvate hydratase,kegg:C00631 = kegg:C00074 + kegg:C00001,nan,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),Lohman K.; Meyerhof O.; Biochem. Z.; 273 60 (1934).,34LOH/MEY_1169,293.15,nan,0.39,nan,chemical analysis,nan,nan,4.2.1.11,nan,nan,nan,nan,nan
11,11,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_151,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry2630,phosphopyruvate hydratase,kegg:C00631 = kegg:C00074 + kegg:C00001,nan,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),Lohman K.; Meyerhof O.; Biochem. Z.; 273 60 (1934).,34LOH/MEY_1169,313.15,nan,0.54,nan,chemical analysis,nan,nan,4.2.1.11,nan,nan,nan,nan,nan
12,12,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_152,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry2628,phosphopyruvate hydratase,kegg:C00631 = kegg:C00074 + kegg:C00001,nan,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),Lohman K.; Meyerhof O.; Biochem. Z.; 273 60 (1934).,34LOH/MEY_1169,333.15,nan,0.7,nan,chemical analysis,nan,nan,4.2.1.11,nan,nan,nan,nan,nan
13,13,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_nan,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry379,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,nan,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1100,266.15,7,0.00018,nan,spectrophotometry,nan,nan,4.1.2.13 & 5.3.1.1,nan,nan, ,nan,nan
14,14,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_nan,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry380,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,nan,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1100,273.15,7,0.0003,nan,spectrophotometry,nan,nan,4.1.2.13 & 5.3.1.1,nan,nan, ,nan,nan
15,15,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_155,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry376,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,nan,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1100,293.15,7,0.0015,nan,spectrophotometry,nan,nan,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,nan,nan,nan,nan,nan
16,16,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_nan,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry377,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,nan,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1100,333.15,7,0.013,nan,spectrophotometry,nan,nan,4.1.2.13 & 5.3.1.1,nan,nan, ,nan,nan
17,17,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_157,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry378,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,nan,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1100,343.15,7,0.022,nan,spectrophotometry,nan,nan,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,nan,nan,nan,nan,nan
18,18,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_153,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry218,triose-phosphate isomerase and fructose-bisphosphate aldolase,kegg:C00354 = 2 kegg:C00111,nan,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1288,266.15,7,0.00018,nan,spectrophotometry,nan,nan,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,nan,nan,nan,nan,nan
19,19,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_154,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry222,triose-phosphate isomerase and fructose-bisphosphate aldolase,kegg:C00354 = 2 kegg:C00111,nan,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1288,273.15,7,0.0003,nan,spectrophotometry,nan,nan,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,nan,nan,nan,nan,nan
20,20,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_nan,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry219,triose-phosphate isomerase and fructose-bisphosphate aldolase,kegg:C00354 = 2 kegg:C00111,nan,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1288,293.15,7,0.0015,nan,spectrophotometry,nan,nan,4.1.2.13 & 5.3.1.1,nan,nan, ,nan,nan
21,21,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_156,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry220,triose-phosphate isomerase and fructose-bisphosphate aldolase,kegg:C00354 = 2 kegg:C00111,nan,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1288,333.15,7,0.013,nan,spectrophotometry,nan,nan,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,nan,nan,nan,nan,nan
22,22,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_nan,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry221,triose-phosphate isomerase and fructose-bisphosphate aldolase,kegg:C00354 = 2 kegg:C00111,nan,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1288,343.15,7,0.022,nan,spectrophotometry,nan,nan,4.1.2.13 & 5.3.1.1,nan,nan, ,nan,nan
23,23,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_158,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry935,phosphopyruvate hydratase,kegg:C00631 = kegg:C00074 + kegg:C00001,nan,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),Akano R.; Biochem. Z.; 280 110 (1935).,35AKA_1170,301.15,nan,2.3,nan,nan,nan,nan,4.2.1.11,nan,nan,nan,nan,nan
24,24,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_159,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry3832,aspartate ammonia-lyase,kegg:C00049 = kegg:C00122 + kegg:C00014,nan,L-aspartate(aq) = fumarate(aq) + ammonia(aq),Jacobsohn K.P.; Tapadinhas J.; Biochem. Z.; 282 374 (1935).,35JAC/TAP_1207,278.15,7,0.0024,nan,polarimetry and chemical analysis,barbital,nan,4.3.1.1,nan,nan,nan,nan,nan
