,freiburger_index,du_index,noor_index,Enzyme:,KEGG Reaction:,CID Reaction:,Reaction:,Reference:,Reference ID:,T [K],pH ,Keq,Km,Method:,Buffer:,Experimental conditions,EC Value:,solutes [mol / kg],solutes [mol / dm^3],Ionic strength [mol / dm^3],Ionic strength [mol / kg],Enthalpy [kJ / mol]
0,0,140,4336,aspartate ammonia-lyase,kegg:C00049 = kegg:C00122 + kegg:C00014,,L-aspartate(aq) = fumarate(aq) + ammonia(aq),Quastel J.H.; Woolf B.; Biochem. J.; 20 545 (1926).,26QUA/WOO_1205,310.15,7.4,0.04,,chemical analysis,phosphate,,4.3.1.1,,,,,
1,1,141,2910,aspartate ammonia-lyase,kegg:C00049 = kegg:C00122 + kegg:C00014,,L-aspartate(aq) = fumarate(aq) + ammonia(aq),Woolf B.; Biochem. J.; 23 472 (1929).,29WOO_1206,310.15,7.4,0.01,,chemical analysis and polarimetry,phosphate,,4.3.1.1,,,,,
2,2,142,2129,fumarate hydratase,kegg:C00122 + kegg:C00001 = kegg:C00149,,fumarate(aq) + H2O(l) = (S)-malate(aq),Borsook H.; Schott H.F.; J. Biol. Chem.; 92 559 (1931).,31BOR/SCH_1141,298.15,6.81,3.1,,electrochemistry,,,4.2.1.2,,,,,
3,3,143,2130,fumarate hydratase,kegg:C00122 + kegg:C00001 = kegg:C00149,,fumarate(aq) + H2O(l) = (S)-malate(aq),Borsook H.; Schott H.F.; J. Biol. Chem.; 92 559 (1931).,31BOR/SCH_1141,298.15,7.12,3.3,,electrochemistry,,,4.2.1.2,,,,,
4,4,148,791,fumarate hydratase,kegg:C00122 + kegg:C00001 = kegg:C00149,,fumarate(aq) + H2O(l) = (S)-malate(aq),Jacobsohn K.P.; Biochem. Z.; 274 167 (1934).,34JAC_1142,278.15,6.8,8.4,,polarimetry,barbital,,4.2.1.2,,,,,
5,5,147,792,fumarate hydratase,kegg:C00122 + kegg:C00001 = kegg:C00149,,fumarate(aq) + H2O(l) = (S)-malate(aq),Jacobsohn K.P.; Biochem. Z.; 274 167 (1934).,34JAC_1142,288.15,6.8,6.5,,polarimetry,barbital,,4.2.1.2,,,,,
6,6,146,793,fumarate hydratase,kegg:C00122 + kegg:C00001 = kegg:C00149,,fumarate(aq) + H2O(l) = (S)-malate(aq),Jacobsohn K.P.; Biochem. Z.; 274 167 (1934).,34JAC_1142,298.15,6.8,5.1,,polarimetry,barbital,,4.2.1.2,,,,,
7,7,145,794,fumarate hydratase,kegg:C00122 + kegg:C00001 = kegg:C00149,,fumarate(aq) + H2O(l) = (S)-malate(aq),Jacobsohn K.P.; Biochem. Z.; 274 167 (1934).,34JAC_1142,311.15,6.8,3.8,,polarimetry,barbital,,4.2.1.2,,,,,
8,8,144,795,fumarate hydratase,kegg:C00122 + kegg:C00001 = kegg:C00149,,fumarate(aq) + H2O(l) = (S)-malate(aq),Jacobsohn K.P.; Biochem. Z.; 274 167 (1934).,34JAC_1142,327.15,6.8,2.1,,polarimetry,barbital,,4.2.1.2,,,,,
9,9,149,2629,phosphopyruvate hydratase,kegg:C00631 = kegg:C00074 + kegg:C00001,,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),Lohman K.; Meyerhof O.; Biochem. Z.; 273 60 (1934).,34LOH/MEY_1169,273.15,,0.33,,chemical analysis,,,4.2.1.11,,,,,
10,10,150,2627,phosphopyruvate hydratase,kegg:C00631 = kegg:C00074 + kegg:C00001,,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),Lohman K.; Meyerhof O.; Biochem. Z.; 273 60 (1934).,34LOH/MEY_1169,293.15,,0.39,,chemical analysis,,,4.2.1.11,,,,,
11,11,151,2630,phosphopyruvate hydratase,kegg:C00631 = kegg:C00074 + kegg:C00001,,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),Lohman K.; Meyerhof O.; Biochem. Z.; 273 60 (1934).,34LOH/MEY_1169,313.15,,0.54,,chemical analysis,,,4.2.1.11,,,,,
12,12,152,2628,phosphopyruvate hydratase,kegg:C00631 = kegg:C00074 + kegg:C00001,,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),Lohman K.; Meyerhof O.; Biochem. Z.; 273 60 (1934).,34LOH/MEY_1169,333.15,,0.7,,chemical analysis,,,4.2.1.11,,,,,
