name,CID_ox,nH_ox,charge_ox,CID_red,nH_red,charge_red,standard_E_prime,p_h,ionic_strength,temperature,decompose,reference,doi,comment
NAD,metanetx.chemical:MNXM8,26,-1,metanetx.chemical:MNXM10,27,-2,-0.32,7,0,298.15,1,CRC biochemistry (2010),10.1134/S0006297910110167,
NADP,metanetx.chemical:MNXM5,25,-2,metanetx.chemical:MNXM6,26,-3,-0.324,7,0,298.15,1,CRC biochemistry (2010),10.1134/S0006297910110167,
ferredoxin,metanetx.chemical:MNXM178,0,1,metanetx.chemical:MNXM169,0,0,-0.412,7,0,298.15,0,Prince (1987),10.1016/S0021-9258(18)61163-9,
ubiquinone (n=1),metanetx.chemical:MNXM176,26,0,metanetx.chemical:MNXM202,28,0,0.113,7,0,298.15,1,Thauer (1977),10.1128/br.41.1.100-180.1977,"taken from a dissertation (Schnorf U., 1966 - ETH Zurich)"
menaquinone (n=1),metanetx.chemical:MNXM166,24,0,metanetx.chemical:MNXM442,26,0,-0.074,7,0,298.15,1,Thauer (1977),10.1128/br.41.1.100-180.1977,"taken from a dissertation (Schnorf U., 1966 - ETH Zurich)"
FAD,metanetx.chemical:MNXM33,33,0,metanetx.chemical:MNXM38,35,0,-0.219,7,0,298.15,1,CRC biochemistry (2010),10.1134/S0006297910110167,
FAD(enz),metanetx.chemical:MNXM12535,33,0,metanetx.chemical:MNXM12859,35,0,0.459,0,0,298.15,0,Alberty (2006),10.1002/047003646X,
FMN,metanetx.chemical:MNXM119,18,0,metanetx.chemical:MNXM208,20,0,-0.219,7.09,0,298.15,1,CRC biochemistry (2010),10.1134/S0006297910110167,
thioredoxin,metanetx.chemical:MNXM148,12,0,metanetx.chemical:MNXM96993,14,0,-0.27,7,0,298.15,1,CRC biochemistry (2010),10.1134/S0006297910110167,
coenzyme F420,metanetx.chemical:MNXM372,36,0,metanetx.chemical:MNXM520,38,0,-0.36,7,0,298.15,1,Walsh (1986),10.1021/ar00127a004,
methyl viologen,metanetx.chemical:MNXM159207,14,2,metanetx.chemical:MNXM160811,14,1,-0.44,7,0,298.15,1,Saeki (1985),10.1093/oxfordjournals.jbchem.a135496,
dimethyl sulfoxide,metanetx.chemical:MNXM745,6,0,metanetx.chemical:MNXM444,8,0,0.16,7,0,298.15,1,Unden (1997),10.1016/S0005-2728(97)00034-0,
Trimethylamine,metanetx.chemical:MNXM437,9,0,metanetx.chemical:MNXM352,11,0,0.13,7,0,298.15,1,Unden (1997),10.1016/S0005-2728(97)00034-0,
pyocyanin,metanetx.chemical:MNXM732503,10,0,metanetx.chemical:MNXM732504,12,0,0.069,5,200 mM,298.15,,Wang & Newman (2008),10.1021/es702290a,
pyocyanin,metanetx.chemical:MNXM732503,10,0,metanetx.chemical:MNXM732504,12,0,0.008,6,200 mM,298.15,,Wang & Newman (2008),10.1021/es702290a,
pyocyanin,metanetx.chemical:MNXM732503,10,0,metanetx.chemical:MNXM732504,12,0,-0.04,7,200 mM,298.15,,Wang & Newman (2008),10.1021/es702290a,
