Enzyme:,Reaction:,Reference:,Reference ID:,T [K],pH ,Keq,Km,Method:,Buffer:,Experimental conditions,EC Value:,solutes [mol / kg],solutes [mol / dm^3],Ionic strength [mol / dm^3],Ionic strength [mol / kg],Enthalpy [kJ / mol]
 aspartate ammonia-lyase, L-aspartate(aq) = fumarate(aq) + ammonia(aq),Quastel J.H.; Woolf B.; Biochem. J.; 20 545 (1926).,26QUA/WOO_1205,310.15,7.4,~0.04, , chemical analysis, phosphate, ," 4.3.1.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 aspartate ammonia-lyase, L-aspartate(aq) = fumarate(aq) + ammonia(aq),Woolf B.; Biochem. J.; 23 472 (1929).,29WOO_1206,310.15,7.4,0.01, , chemical analysis and polarimetry, phosphate, ," 4.3.1.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),Borsook H.; Schott H.F.; J. Biol. Chem.; 92 559 (1931).,31BOR/SCH_1141,298.15,6.81,3.1, , electrochemistry, , ," 4.2.1.2                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq), , ,298.15,7.12,3.3, , , , , , , , , , 
 fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),Jacobsohn K.P.; Biochem. Z.; 274 167 (1934).,34JAC_1142,278.15,6.8,8.4, , polarimetry, barbital, ," 4.2.1.2                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq), , ,288.15,6.8,6.5, , , , , , , , , , 
 fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq), , ,298.15,6.8,5.1, , , , , , , , , , 
 fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq), , ,311.15,6.8,3.8, , , , , , , , , , 
 fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq), , ,327.15,6.8,2.1, , , , , , , , , , 
 phosphopyruvate hydratase, 2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),Lohman K.; Meyerhof O.; Biochem. Z.; 273 60 (1934).,34LOH/MEY_1169,273.15, ,0.33, , chemical analysis, , ," 4.2.1.11                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 phosphopyruvate hydratase, 2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l), , ,293.15, ,0.39, , , , , , , , , , 
 phosphopyruvate hydratase, 2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l), , ,313.15, ,0.54, , , , , , , , , , 
 phosphopyruvate hydratase, 2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l), , ,333.15, ,0.7, , , , , , , , , , 
 fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1100,266.15,7,0.00018, , spectrophotometry, , ," 4.1.2.13 & 5.3.1.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,273.15,7,0.0003, , , , , , , , , , 
 fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.0015, , , , , , , , , , 
 fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,333.15,7,0.013, , , , , , , , , , 
 fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,343.15,7,0.022, , , , , , , , , , 
