index,Enzyme:,Reaction:,T(K),pH ,K' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
1054, dihydrolipoamide dehydrogenase, dihydrolipoamide(aq) + NAD(aq) = lipoamide(aq) + NADH(aq),295.15,6.23,0.081,Sanadi D.R.; Langley M.; Searls R.L.; J. Biol. Chem.; 234 178 (1959).,59SAN/LAN_326," 1.8.1.4                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate (0.05 mol dm-3)
1055, dihydrolipoamide dehydrogenase, dihydrolipoamide(aq) + NAD(aq) = lipoamide(aq) + NADH(aq),295.15,6.86,0.18,,,,,
1056, dihydrolipoamide dehydrogenase, dihydrolipoamide(aq) + NAD(aq) = lipoamide(aq) + NADH(aq),295.15,7.19,0.28,,,,,
1057, dihydrolipoamide dehydrogenase, dihydrolipoamide(aq) + NAD(aq) = lipoamide(aq) + NADH(aq),295.15,7.53,0.36,,,,,
1058, dihydrolipoamide dehydrogenase, dihydrolipoamide(aq) + NAD(aq) = lipoamide(aq) + NADH(aq),295.15,7.74,0.65,,,,,
1059, dihydrolipoamide dehydrogenase, dihydrolipoamide(aq) + NAD(aq) = lipoamide(aq) + NADH(aq),295.15,7.90,1.0,,,,,
1060, dihydrolipoamide dehydrogenase, dihydrolipoamide(aq) + NAD(aq) = lipoamide(aq) + NADH(aq),295.15,8.23,1.5,,,,,
1061, dihydrolipoamide dehydrogenase, dihydrolipoamide(aq) + NAD(aq) = lipoamide(aq) + NADH(aq),295.15,8.42,2.6,,,,,
1062, dihydrolipoamide dehydrogenase, dihydrolipoamide(aq) + NAD(aq) = lipoamide(aq) + NADH(aq),295.15,8.59,3.6,,,,,
1063, dihydrolipoamide dehydrogenase, dihydrolipoamide(aq) + NAD(aq) = lipoamide(aq) + NADH(aq),295.15,9.08,4.8,,,,,
