index,Enzyme:,Reaction:,T(K),pH ,"c(MgSO4,mol dm<sup>-3</sup>)",pMg ,K' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
1933, [glutamate-ammonia-ligase] adenylyltransferase, ATP(aq) + [L-glutamate:ammonia ligase(ADP-forming)](aq) = pyrophosphate(aq) + adenylyl-[L-glutamate:ammonia ligase(ADP-forming)](aq),278.5 ,7.4,not given,2.0,57.4,Wohlhueter R.M.; Eur. J. Biochem.; 21 575 (1971).,71WOH_709," 2.7.7.42                                                    (ENZYME |                                                 KEGG)                                                ", enzymatic assay, Tris (0.10 mol dm-3) + HCl
1934, [glutamate-ammonia-ligase] adenylyltransferase, ATP(aq) + [L-glutamate:ammonia ligase(ADP-forming)](aq) = pyrophosphate(aq) + adenylyl-[L-glutamate:ammonia ligase(ADP-forming)](aq),283.2 ,7.4,not given,2.0,28.8,,,,,
1935, [glutamate-ammonia-ligase] adenylyltransferase, ATP(aq) + [L-glutamate:ammonia ligase(ADP-forming)](aq) = pyrophosphate(aq) + adenylyl-[L-glutamate:ammonia ligase(ADP-forming)](aq),288.0 ,7.4,not given,2.0,21.8,,,,,
1936, [glutamate-ammonia-ligase] adenylyltransferase, ATP(aq) + [L-glutamate:ammonia ligase(ADP-forming)](aq) = pyrophosphate(aq) + adenylyl-[L-glutamate:ammonia ligase(ADP-forming)](aq),298.2 ,7.4,not given,2.0,19.6,,,,,
1937, [glutamate-ammonia-ligase] adenylyltransferase, ATP(aq) + [L-glutamate:ammonia ligase(ADP-forming)](aq) = pyrophosphate(aq) + adenylyl-[L-glutamate:ammonia ligase(ADP-forming)](aq),303.0 ,7.4,not given,2.0,17.8,,,,,
1938, [glutamate-ammonia-ligase] adenylyltransferase, ATP(aq) + [L-glutamate:ammonia ligase(ADP-forming)](aq) = pyrophosphate(aq) + adenylyl-[L-glutamate:ammonia ligase(ADP-forming)](aq),303.15,6.73,0.010,not given,5.0,,,,,
1939, [glutamate-ammonia-ligase] adenylyltransferase, ATP(aq) + [L-glutamate:ammonia ligase(ADP-forming)](aq) = pyrophosphate(aq) + adenylyl-[L-glutamate:ammonia ligase(ADP-forming)](aq),303.15,7.0,0.010,not given,12.9,,,,,
1940, [glutamate-ammonia-ligase] adenylyltransferase, ATP(aq) + [L-glutamate:ammonia ligase(ADP-forming)](aq) = pyrophosphate(aq) + adenylyl-[L-glutamate:ammonia ligase(ADP-forming)](aq),303.15,7.03,0.010,not given,12.8,,,,,
1941, [glutamate-ammonia-ligase] adenylyltransferase, ATP(aq) + [L-glutamate:ammonia ligase(ADP-forming)](aq) = pyrophosphate(aq) + adenylyl-[L-glutamate:ammonia ligase(ADP-forming)](aq),303.15,7.4,0.005,not given,12.3,,,,,
1942, [glutamate-ammonia-ligase] adenylyltransferase, ATP(aq) + [L-glutamate:ammonia ligase(ADP-forming)](aq) = pyrophosphate(aq) + adenylyl-[L-glutamate:ammonia ligase(ADP-forming)](aq),303.15,7.4,0.010,not given,23.6,,,,,
1943, [glutamate-ammonia-ligase] adenylyltransferase, ATP(aq) + [L-glutamate:ammonia ligase(ADP-forming)](aq) = pyrophosphate(aq) + adenylyl-[L-glutamate:ammonia ligase(ADP-forming)](aq),303.15,7.4,0.020,not given,38.2,,,,,
1944, [glutamate-ammonia-ligase] adenylyltransferase, ATP(aq) + [L-glutamate:ammonia ligase(ADP-forming)](aq) = pyrophosphate(aq) + adenylyl-[L-glutamate:ammonia ligase(ADP-forming)](aq),303.15,7.57,0.010,not given,48.2,,,,,
1945, [glutamate-ammonia-ligase] adenylyltransferase, ATP(aq) + [L-glutamate:ammonia ligase(ADP-forming)](aq) = pyrophosphate(aq) + adenylyl-[L-glutamate:ammonia ligase(ADP-forming)](aq),309.5 ,7.4,not given,2.0,18.5,,,,,
